C	daily			OV. COST	OP. COST	OP. COST	OP. COST	OP. COST	MRG. PRICE	MRG. PRICE	MRG. PRICE	MRG. PRICE	CO2 EMIS.	BALANCE	BALANCE	BALANCE	BALANCE	ROW BAL.	PSP	MISC. NDG	LOAD	LOAD	LOAD	LOAD	H. ROR	H. ROR	H. ROR	H. ROR	WIND	WIND	WIND	WIND	SOLAR	SOLAR	SOLAR	SOLAR	NUCLEAR	NUCLEAR	NUCLEAR	NUCLEAR	LIGNITE	LIGNITE	LIGNITE	LIGNITE	COAL	COAL	COAL	COAL	GAS	GAS	GAS	GAS	OIL	OIL	OIL	OIL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MISC. DTG	MISC. DTG	MISC. DTG	MISC. DTG	H. STOR	H. STOR	H. STOR	H. STOR	H. PUMP	H. PUMP	H. PUMP	H. PUMP	H. LEV	H. LEV	H. LEV	H. LEV	H. INFL	H. INFL	H. INFL	H. INFL	H. OVFL	H. OVFL	H. OVFL	H. OVFL	H. VAL	H. VAL	H. VAL	H. VAL	H. COST	H. COST	H. COST	H. COST	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	LOLD	LOLD	LOLD	LOLD	LOLP	AVL DTG	AVL DTG	AVL DTG	AVL DTG	DTG MRG	DTG MRG	DTG MRG	DTG MRG	MAX MRG	MAX MRG	MAX MRG	MAX MRG	NP COST	NP COST	NP COST	NP COST	NODU	NODU	NODU	NODU
				Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Tons	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	%	%	%	%	MWh	MWh	MWh	MWh	%	%	%	%	Euro/MWh	Euro/MWh	Euro/MWh	Euro/MWh	Euro	Euro	Euro	Euro	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	Hours	Hours	Hours	Hours	%	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	Euro	Euro	Euro	Euro	 	 	 	 
	index	day	month	EXP	EXP	std	min	max	EXP	std	min	max	EXP	EXP	std	min	max	values	EXP	EXP	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	values	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max
	16	16	JAN	65509233	62391575	2346325	59042650	65960100	54.44	9.28	50.00	80.00	1483983	0	0	0	0	0	0	0	1723070	57837	1647552	1806966	112655	31917	59712	165672	0	0	0	0	0	0	0	0	0	0	0	0	944000	50596	840000	1032000	0	0	0	0	0	0	0	0	3986	10622	0	34004	580654	49756	492053	653541	0	0	0	0	81775	27937	38823	135798	0	0	0	0	59.31	7.99	45.85	73.54	48280	13679	25589	71003	0	0	0	0	38.85	3.13	30.00	40.00	3117658	882307	1552934	4435600	0	0	0	0	0	0	0	0	0	0	0	0	0	1922667	47253	1824000	1992000	394027	46527	301996	457663	396446	57762	273702	473323	0	0	0	0	1596	56	1529	1704
	17	17	JAN	69728721	65790787	3224239	60792400	71341280	57.22	9.77	50.00	80.00	1530891	0	0	0	0	0	0	0	1806525	74564	1728194	1923971	112655	31917	59712	165672	0	0	0	0	0	0	0	0	0	0	0	0	957333	34769	888000	1008000	0	0	0	0	0	0	0	0	20455	31933	0	98266	612954	48000	510248	658423	0	0	0	0	103127	31410	69901	168433	0	0	0	0	58.87	7.79	45.77	72.67	48280	13679	25589	71002	0	0	0	0	38.89	3.14	30.00	40.00	3937934	938608	2796033	5920320	0	0	0	0	0	0	0	0	0	0	0	0	0	1938667	43492	1872000	1992000	347924	58013	237734	420917	367781	66752	241990	467527	0	0	0	0	1635	41	1560	1705
	18	18	JAN	70459009	66421259	3604481	59969100	73226238	59.03	8.35	50.00	80.00	1543081	0	0	0	0	0	0	0	1823838	77943	1697206	1922052	112656	31917	59712	165672	0	0	0	0	0	0	0	0	0	0	0	0	962667	36563	888000	1008000	0	0	0	0	0	0	0	0	18668	36875	0	121828	624690	53582	493782	684223	0	0	0	0	105157	29018	64000	151691	0	0	0	0	58.33	7.56	45.58	71.82	48280	13679	25589	71003	0	0	0	0	38.89	3.14	30.00	40.00	4037750	973176	2560000	5463840	0	0	0	0	0	0	0	0	0	0	0	0	0	1957333	46800	1872000	2016000	351309	63898	214172	466218	368509	60553	250260	466820	0	0	0	0	1649	44	1557	1720
	19	19	JAN	65670765	62927140	3860580	55004895	68937650	53.33	9.43	50.00	80.00	1514833	0	0	0	0	0	0	0	1731489	87444	1575758	1879416	112656	31917	59712	165672	0	0	0	0	0	0	0	0	0	0	0	0	976000	40792	888000	1056000	0	0	0	0	0	0	0	0	6050	17111	0	54446	565664	80200	411298	689953	0	0	0	0	71120	30876	31271	129527	0	0	0	0	57.89	7.43	45.32	71.27	48280	13679	25589	71002	0	0	0	0	38.89	3.14	30.00	40.00	2743625	1202442	1250835	5181080	0	0	0	0	0	0	0	0	0	0	0	0	0	1965333	74571	1824000	2112000	417620	93223	257554	572702	410485	84048	244519	532713	0	0	0	0	1639	51	1572	1733
	20	20	JAN	60652191	59002329	4654296	50798791	67666406	53.19	9.04	50.00	78.75	1449312	0	0	0	0	0	0	0	1618107	99631	1487591	1808881	112656	31918	59708	165672	0	0	0	0	0	0	0	0	0	0	0	0	952000	53066	840000	1056000	0	0	0	0	0	0	0	0	4907	13879	0	44164	505795	95114	343976	664528	0	0	0	0	42749	21974	4044	76154	0	0	0	0	57.78	7.32	45.45	71.20	48280	13679	25589	71003	0	0	0	0	38.89	3.14	30.00	40.00	1649862	864273	161740	3046160	0	0	0	0	0	0	0	0	0	0	0	0	0	1938667	97178	1776000	2136000	475964	109550	267956	678672	463931	95068	278410	634455	0	0	0	0	1620	68	1536	1752
	21	21	JAN	59065926	57742180	3543185	53073097	65117750	51.39	3.93	50.00	62.50	1431187	0	0	0	0	0	0	0	1585658	79880	1452323	1738155	112656	31920	59700	165672	0	0	0	0	0	0	0	0	0	0	0	0	946667	35975	888000	1032000	0	0	0	0	0	0	0	0	458	1296	0	4123	491444	75847	396777	630355	0	0	0	0	34433	19072	3950	60082	0	0	0	0	57.87	7.27	45.73	71.46	48280	13679	25589	71002	0	0	0	0	38.89	3.14	30.00	40.00	1323746	738797	157982	2403278	0	0	0	0	0	0	0	0	0	0	0	0	0	1930667	75141	1824000	2088000	492098	89015	352121	659223	478595	82209	342170	626733	0	0	0	0	1607	65	1518	1728
	22	22	JAN	61882918	59989934	3972336	52264596	67113050	51.67	4.29	50.00	63.75	1458072	0	0	0	0	0	0	0	1645745	82017	1470379	1788429	112655	31920	59700	165672	0	0	0	0	0	0	0	0	0	0	0	0	946667	35975	888000	1032000	0	0	0	0	0	0	0	0	797	2001	0	6416	535857	85496	373292	687061	0	0	0	0	49769	24566	5274	88000	0	0	0	0	57.97	7.16	46.05	71.49	48280	13679	25589	71003	0	0	0	0	38.89	3.14	30.00	40.00	1892984	861995	210960	3014120	0	0	0	0	0	0	0	0	0	0	0	0	0	1938667	82192	1800000	2088000	455346	108658	320741	658708	443406	95196	308998	633517	0	0	0	0	1608	64	1513	1728
	23	23	JAN	66811029	63436862	3747135	56550713	68188134	54.86	8.02	50.00	73.75	1505580	0	0	0	0	0	0	0	1750989	86002	1546251	1863356	112655	31919	59700	165672	0	0	0	0	0	0	0	0	0	0	0	0	957333	23851	936000	1008000	0	0	0	0	0	0	0	0	9162	16258	0	44153	583945	71917	475814	691034	0	0	0	0	87894	30009	41257	129777	0	0	0	0	57.77	7.02	46.02	71.06	48280	13679	25589	71002	0	0	0	0	38.89	3.14	30.00	40.00	3374167	1073930	1650270	5191080	0	0	0	0	0	0	0	0	0	0	0	0	0	1952000	75895	1776000	2064000	401560	107364	248594	580186	401810	101472	254810	598516	0	0	0	0	1634	40	1572	1704
	24	24	JAN	70304495	66349547	2479785	60578260	68339649	57.08	9.66	50.00	80.00	1541800	0	0	0	0	0	0	0	1821703	72552	1637059	1918879	112655	31919	59700	165672	0	0	0	0	0	0	0	0	0	0	0	0	960000	22627	936000	1008000	0	0	0	0	0	0	0	0	12288	21231	0	67916	635330	51041	522765	701930	0	0	0	0	101430	29909	37114	148724	0	0	0	0	57.31	7.06	45.51	70.83	48280	13679	25589	71003	0	0	0	0	38.89	3.14	30.00	40.00	3954948	1261670	1484552	5948960	0	0	0	0	0	0	0	0	0	0	0	0	0	1968000	68819	1824000	2064000	360382	89821	220084	557235	382013	98446	233902	593091	0	0	0	0	1649	25	1608	1705
	25	25	JAN	69457379	65633679	2571202	59660279	68786850	56.11	9.23	50.00	80.00	1531435	0	0	0	0	0	0	0	1805024	70573	1617292	1873807	112655	31919	59700	165672	0	0	0	0	0	0	0	0	0	0	0	0	957333	32877	888000	1008000	0	0	0	0	0	0	0	0	11111	21490	0	67618	624763	48176	504406	686937	0	0	0	0	99162	32007	35706	134511	0	0	0	0	56.80	7.00	45.11	70.35	48280	13679	25589	71002	0	0	0	0	38.89	3.14	30.00	40.00	3823700	1211227	1428257	5380440	0	0	0	0	0	0	0	0	0	0	0	0	0	1962667	73127	1824000	2064000	369460	83341	220382	551594	384817	93951	237702	596363	0	0	0	0	1640	42	1567	1704
