C	daily			OV. COST	OP. COST	OP. COST	OP. COST	OP. COST	MRG. PRICE	MRG. PRICE	MRG. PRICE	MRG. PRICE	CO2 EMIS.	BALANCE	BALANCE	BALANCE	BALANCE	ROW BAL.	PSP	MISC. NDG	LOAD	LOAD	LOAD	LOAD	H. ROR	H. ROR	H. ROR	H. ROR	WIND	WIND	WIND	WIND	SOLAR	SOLAR	SOLAR	SOLAR	NUCLEAR	NUCLEAR	NUCLEAR	NUCLEAR	LIGNITE	LIGNITE	LIGNITE	LIGNITE	COAL	COAL	COAL	COAL	GAS	GAS	GAS	GAS	OIL	OIL	OIL	OIL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MISC. DTG	MISC. DTG	MISC. DTG	MISC. DTG	H. STOR	H. STOR	H. STOR	H. STOR	H. PUMP	H. PUMP	H. PUMP	H. PUMP	H. LEV	H. LEV	H. LEV	H. LEV	H. INFL	H. INFL	H. INFL	H. INFL	H. OVFL	H. OVFL	H. OVFL	H. OVFL	H. VAL	H. VAL	H. VAL	H. VAL	H. COST	H. COST	H. COST	H. COST	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	LOLD	LOLD	LOLD	LOLD	LOLP	AVL DTG	AVL DTG	AVL DTG	AVL DTG	DTG MRG	DTG MRG	DTG MRG	DTG MRG	MAX MRG	MAX MRG	MAX MRG	MAX MRG	NP COST	NP COST	NP COST	NP COST	NODU	NODU	NODU	NODU
				Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Tons	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	%	%	%	%	MWh	MWh	MWh	MWh	%	%	%	%	Euro/MWh	Euro/MWh	Euro/MWh	Euro/MWh	Euro	Euro	Euro	Euro	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	Hours	Hours	Hours	Hours	%	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	Euro	Euro	Euro	Euro	 	 	 	 
	index	day	month	EXP	EXP	std	min	max	EXP	std	min	max	EXP	EXP	std	min	max	values	EXP	EXP	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	values	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max
	89	30	MAR	54807448	52592462	3524661	46000350	58790475	50.00	0	50.00	50.00	1363270	0	0	0	0	0	0	0	1492214	68767	1383515	1606604	103390	21467	72276	135295	0	0	0	0	0	0	0	0	0	0	0	0	938667	39911	864000	1008000	0	0	0	0	0	0	0	0	0	0	0	0	394783	65979	264807	480488	0	0	0	0	55375	12035	27151	71944	0	0	0	0	45.20	6.81	31.85	54.58	40208	8347	28111	52613	0	0	0	0	40.00	0	40.00	40.00	2214986	481401	1086040	2877749	0	0	0	0	0	0	0	0	0	0	0	0	0	1890667	64773	1776000	1992000	557217	89397	431512	695193	564311	81246	450570	689740	0	0	0	0	1505	83	1372	1680
	90	31	MAR	50062179	48110740	4443369	41120111	55914373	50.00	0	50.00	50.00	1317809	0	0	0	0	0	0	0	1399191	74620	1262003	1520512	103391	21468	72276	135300	0	0	0	0	0	0	0	0	0	0	0	0	949333	35975	888000	1008000	0	0	0	0	0	0	0	0	0	0	0	0	297681	100542	133602	446287	0	0	0	0	48786	13626	23744	71748	0	0	0	0	45.10	6.84	31.72	54.52	40207	8347	28110	52612	0	0	0	0	40.00	0	40.00	40.00	1951439	545033	949777	2869911	0	0	0	0	0	0	0	0	0	0	0	0	0	1909333	53200	1824000	1992000	662319	107330	507369	826398	634086	94604	494088	765662	0	0	0	0	1438	131	1162	1632
	91	01	APR	46931767	45440351	4936083	36848647	52307492	49.38	1.77	44.38	50.00	1284270	0	0	0	0	0	0	0	1349718	87381	1144746	1453480	119400	26704	91752	167808	0	0	0	0	0	0	0	0	0	0	0	0	947418	29032	912000	990761	0	0	0	0	0	0	0	0	0	0	0	0	245614	113436	43440	392751	0	0	0	0	37285	17362	11786	62833	0	0	0	0	45.07	6.80	31.76	54.48	44162	9877	33936	62070	0	0	0	0	40.00	0	40.00	40.00	1491416	694491	471456	2513308	0	0	0	0	0	0	0	0	0	0	0	0	0	1912000	53066	1824000	1992000	718968	118356	519249	885799	686571	109716	514770	869022	0	0	0	0	1342	189	1069	1608
	92	02	APR	48156850	45579985	3836250	40024417	52576106	50.00	0	50.00	50.00	1289520	0	0	0	0	0	0	0	1381021	65267	1231747	1453027	119400	26704	91752	167808	0	0	0	0	0	0	0	0	0	0	0	0	952000	22627	912000	984000	0	0	0	0	0	0	0	0	0	0	0	0	245200	86896	111688	396322	0	0	0	0	64422	28275	21919	111239	0	0	0	0	45.02	6.73	31.62	54.24	44162	9877	33936	62070	0	0	0	0	40.00	0	40.00	40.00	2576866	1130997	876750	4449541	0	0	0	0	0	0	0	0	0	0	0	0	0	1914667	57442	1800000	1968000	717467	101951	534050	848312	682754	98730	502039	801346	0	0	0	0	1367	171	1147	1608
	93	03	APR	53584301	51197395	3412109	44780150	56010540	50.00	0	50.00	50.00	1363169	0	0	0	0	0	0	0	1491020	49190	1409101	1573209	119399	26703	91752	167808	0	0	0	0	0	0	0	0	0	0	0	0	960000	29933	912000	1008000	0	0	0	0	0	0	0	0	0	0	0	0	351948	75351	206803	481811	0	0	0	0	59673	20224	19669	93311	0	0	0	0	44.82	6.75	31.28	54.03	44162	9877	33936	62070	0	0	0	0	40.00	0	40.00	40.00	2386906	808940	786751	3732440	0	0	0	0	0	0	0	0	0	0	0	0	0	1928000	61968	1824000	2040000	616052	96136	484663	755020	637643	101963	469297	776244	0	0	0	0	1461	100	1267	1584
	94	04	APR	56774270	53681926	4120394	46700250	58776450	50.00	0	50.00	50.00	1392983	0	0	0	0	0	0	0	1558347	63069	1413427	1606006	119400	26703	91752	167808	0	0	0	0	0	0	0	0	0	0	0	0	960000	50596	888000	1056000	0	0	0	0	0	0	0	0	0	0	0	0	401639	92672	290137	550204	0	0	0	0	77309	23467	40000	110510	0	0	0	0	44.58	6.64	31.03	53.47	44162	9877	33936	62070	0	0	0	0	40.00	0	40.00	40.00	3092344	938690	1600000	4420400	0	0	0	0	0	0	0	0	0	0	0	0	0	1917333	78746	1800000	2064000	555695	128286	343671	736395	607356	111682	417063	760267	0	0	0	0	1514	69	1404	1600
	95	05	APR	55569641	52292717	3344373	46057271	56182758	50.00	0	50.00	50.00	1370073	0	0	0	0	0	0	0	1532778	73201	1344819	1588719	119401	26704	91752	167813	0	0	0	0	0	0	0	0	0	0	0	0	952000	51846	864000	1056000	0	0	0	0	0	0	0	0	0	0	0	0	379454	85051	249145	518855	0	0	0	0	81923	24104	41906	120000	0	0	0	0	44.21	6.63	30.68	52.96	44162	9877	33936	62070	0	0	0	0	40.00	0	40.00	40.00	3276924	964175	1676223	4800000	0	0	0	0	0	0	0	0	0	0	0	0	0	1912000	80796	1776000	2040000	580546	121726	372812	727075	616916	114195	425644	767491	0	0	0	0	1507	61	1384	1580
	96	06	APR	50437689	47865954	3488918	41802821	52373185	50.00	0	50.00	50.00	1314871	0	0	0	0	0	0	0	1425814	71076	1243423	1484955	119401	26706	91752	167820	0	0	0	0	0	0	0	0	0	0	0	0	949333	51983	864000	1056000	0	0	0	0	0	0	0	0	0	0	0	0	292786	92212	147256	409064	0	0	0	0	64293	25321	18399	101971	0	0	0	0	43.94	6.68	30.47	52.66	44162	9877	33936	62070	0	0	0	0	40.00	0	40.00	40.00	2571734	1012852	735943	4078840	0	0	0	0	0	0	0	0	0	0	0	0	0	1917333	72835	1776000	2040000	675214	125861	454936	836744	664353	121363	459493	818345	0	0	0	0	1392	136	1154	1560
	97	07	APR	44932999	43521027	3182079	37600117	48334989	49.72	0.52	48.75	50.00	1266764	0	0	0	0	0	0	0	1311472	66705	1186797	1395756	119401	26706	91752	167820	0	0	0	0	0	0	0	0	0	0	0	0	954502	50248	864000	1056000	0	0	0	0	0	0	0	0	0	0	0	0	202269	77320	63868	302819	0	0	0	0	35299	12450	12766	53439	0	0	0	0	43.86	6.73	30.37	52.52	44162	9877	33936	62070	0	0	0	0	40.00	0	40.00	40.00	1411972	498010	510626	2137579	0	0	0	0	0	0	0	0	0	0	0	0	0	1928000	70654	1776000	2040000	771229	107186	584718	921083	744361	115394	538263	886981	0	0	0	0	1294	176	1069	1560
	98	08	APR	42951714	41406023	2497602	36500466	45201232	49.86	0.39	48.75	50.00	1245614	0	0	0	0	0	0	0	1274142	53729	1179205	1347870	119401	26706	91752	167820	0	0	0	0	0	0	0	0	0	0	0	0	959925	46687	888000	1056000	0	0	0	0	0	0	0	0	0	0	0	0	156173	64250	75282	258060	0	0	0	0	38642	12890	21947	58213	0	0	0	0	44.00	6.80	30.45	52.61	44162	9877	33936	62070	0	0	0	0	40.00	0	40.00	40.00	1545690	515600	877873	2328534	0	0	0	0	0	0	0	0	0	0	0	0	0	1944000	58788	1848000	2040000	827902	83576	663175	924694	790722	87331	609878	884783	0	0	0	0	1272	185	1039	1584
	99	09	APR	45457922	43583892	3798727	36456899	49569317	49.79	0.59	48.13	50.00	1257177	0	0	0	0	0	0	0	1320303	61070	1190981	1387259	119401	26706	91752	167820	0	0	0	0	0	0	0	0	0	0	0	0	941244	50325	864000	1032000	0	0	0	0	0	0	0	0	0	0	0	0	212807	99030	74504	386586	0	0	0	0	46851	19092	22905	92570	0	0	0	0	43.99	6.85	30.36	52.39	44162	9877	33936	62070	0	0	0	0	40.00	0	40.00	40.00	1874030	763684	916188	3702807	0	0	0	0	0	0	0	0	0	0	0	0	0	1925333	56317	1848000	2040000	771282	100186	634221	910304	739176	101961	617669	911510	0	0	0	0	1289	163	1039	1560
	100	10	APR	50774004	48282087	5019921	39087299	56902990	50.00	0	50.00	50.00	1311545	0	0	0	0	0	0	0	1428942	76178	1276517	1533029	119403	26705	91752	167820	0	0	0	0	0	0	0	0	0	0	0	0	938667	48589	888000	1032000	0	0	0	0	0	0	0	0	0	0	0	0	308575	116595	126546	499660	0	0	0	0	62298	17515	29617	84034	0	0	0	0	43.89	6.89	30.29	52.11	44162	9877	33936	62070	0	0	0	0	40.00	0	40.00	40.00	2491917	700582	1184688	3361363	0	0	0	0	0	0	0	0	0	0	0	0	0	1917333	66399	1824000	2040000	670092	136212	508340	881454	674455	123870	522175	886447	0	0	0	0	1364	143	1101	1608
	101	11	APR	54621279	51485578	5787693	38815689	57796400	50.14	0.39	50.00	51.25	1341656	0	0	0	0	0	0	0	1505880	95723	1290537	1602984	119401	26706	91752	167820	0	0	0	0	0	0	0	0	0	0	0	0	928000	39192	864000	1008000	0	0	0	0	0	0	0	0	43	122	0	388	380043	129663	121114	534328	0	0	0	0	78393	21662	39939	113263	0	0	0	0	43.62	6.89	30.13	51.71	44162	9877	33936	62070	0	0	0	0	40.00	0	40.00	40.00	3135701	866477	1597572	4530520	0	0	0	0	0	0	0	0	0	0	0	0	0	1901333	73127	1800000	2016000	593248	166547	407443	934886	637555	138265	449453	901686	0	0	0	0	1437	137	1099	1608
	102	12	APR	53239342	50920043	3876794	41780600	55781279	50.00	0	50.00	50.00	1334881	0	0	0	0	0	0	0	1474182	62615	1340396	1569952	119401	26705	91752	167820	0	0	0	0	0	0	0	0	0	0	0	0	928000	43818	864000	1008000	0	0	0	0	0	0	0	0	0	0	0	0	368801	96206	163612	477226	0	0	0	0	57981	17895	30221	88974	0	0	0	0	43.38	6.90	30.03	51.49	44162	9877	33936	62070	0	0	0	0	40.04	0.11	40.00	40.34	2319300	715788	1208841	3558976	0	0	0	0	0	0	0	0	0	0	0	0	0	1909333	71653	1824000	2016000	612532	130861	480503	892388	655712	125435	503031	899280	0	0	0	0	1440	109	1175	1602
	103	13	APR	47253400	45268993	3584703	41557209	53441699	50.00	0	50.00	50.00	1258748	0	0	0	0	0	0	0	1347985	64667	1267934	1471536	119400	26704	91752	167820	0	0	0	0	0	0	0	0	0	0	0	0	917333	51571	816000	984000	0	0	0	0	0	0	0	0	0	0	0	0	263247	87678	161723	413634	0	0	0	0	48005	22498	13797	85613	0	0	0	0	43.28	6.96	29.79	51.34	44162	9877	33936	62070	0	0	0	0	40.88	2.49	40.00	47.91	1984407	1017792	551890	4002217	0	0	0	0	0	0	0	0	0	0	0	0	0	1893333	69231	1776000	1992000	712753	103230	557844	880056	699131	110040	550820	898543	0	0	0	0	1332	108	1133	1482
	104	14	APR	43179242	41670262	2664131	38616280	46209344	50.00	0	50.00	50.00	1207243	0	0	0	0	0	0	0	1260369	55242	1162662	1349975	119400	26704	91752	167820	0	0	0	0	0	0	0	0	0	0	0	0	906667	57442	792000	960000	0	0	0	0	0	0	0	0	0	0	0	0	198739	84620	101008	369787	0	0	0	0	35564	18180	11856	75169	0	0	0	0	43.30	6.99	29.61	51.34	44162	9877	33936	62070	0	0	0	0	41.74	4.92	40.00	55.64	1508980	839508	474256	3006776	0	0	0	0	0	0	0	0	0	0	0	0	0	1893333	71951	1776000	1992000	787928	94551	614213	930992	768488	97534	593965	914780	0	0	0	0	1205	116	1076	1380
	105	15	APR	40871854	39434018	2068909	36671144	43338545	48.68	1.87	45.00	50.00	1182105	0	0	0	0	0	0	0	1214522	55699	1126108	1334444	119400	26704	91752	167820	0	0	0	0	0	0	0	0	0	0	0	0	908842	61928	792000	984000	0	0	0	0	0	0	0	0	0	0	0	0	152491	70214	70222	295571	0	0	0	0	33789	17273	12043	65564	0	0	0	0	43.41	6.99	29.63	51.17	44162	9877	33936	62069	0	0	0	0	41.65	4.67	40.00	54.85	1437836	820705	481700	2919955	0	0	0	0	0	0	0	0	0	0	0	0	0	1888000	101193	1728000	1992000	826667	105334	640429	974348	799986	111355	619746	956403	0	0	0	0	1166	118	1041	1344
	106	16	APR	42995871	41489747	981875	39929123	43180386	50.00	0	50.00	50.00	1205077	0	0	0	0	0	0	0	1257926	48646	1188066	1352643	119400	26704	91752	167820	0	0	0	0	0	0	0	0	0	0	0	0	906667	47703	816000	960000	0	0	0	0	0	0	0	0	0	0	0	0	195128	44993	143382	274817	0	0	0	0	36731	18502	11004	71301	0	0	0	0	43.49	6.97	29.67	51.05	44162	9877	33936	62070	0	0	0	0	41.50	4.26	40.00	53.54	1506124	724957	440141	2852038	0	0	0	0	0	0	0	0	0	0	0	0	0	1874667	93600	1704000	1992000	772872	85380	621748	885124	757820	83675	603974	858353	0	0	0	0	1225	95	1108	1392
	107	17	APR	46687898	44802734	2034662	40955370	47727010	50.00	0	50.00	50.00	1240673	0	0	0	0	0	0	0	1332108	39410	1286735	1403770	119400	26704	91752	167820	0	0	0	0	0	0	0	0	0	0	0	0	901333	46800	816000	960000	0	0	0	0	0	0	0	0	0	0	0	0	265121	57083	147107	325070	0	0	0	0	46253	20638	26209	94984	0	0	0	0	43.52	6.90	29.79	50.90	44162	9877	33936	62069	0	0	0	0	40.97	2.74	40.00	48.73	1885165	813810	1048361	3799360	0	0	0	0	0	0	0	0	0	0	0	0	0	1877333	85250	1728000	1992000	710879	84551	579066	860893	717838	85537	550279	847769	0	0	0	0	1294	68	1162	1392
	108	18	APR	50277814	47668715	2553617	43096906	51943921	50.00	0	50.00	50.00	1283385	0	0	0	0	0	0	0	1409704	37248	1370019	1469220	119400	26704	91752	167820	0	0	0	0	0	0	0	0	0	0	0	0	912000	39192	840000	984000	0	0	0	0	0	0	0	0	0	0	0	0	314974	55216	206738	388725	0	0	0	0	63330	20376	35932	108929	0	0	0	0	43.40	6.85	29.74	50.66	44162	9877	33936	62070	0	0	0	0	41.10	3.11	40.00	49.89	2609100	893081	1437290	4357169	0	0	0	0	0	0	0	0	0	0	0	0	0	1888000	87636	1680000	2016000	661026	111566	403275	801262	690101	101583	468996	831455	0	0	0	0	1374	69	1193	1439
	109	19	APR	51219663	48547190	2598051	44346250	51941474	50.00	0	50.00	50.00	1302246	0	0	0	0	0	0	0	1429878	21371	1403843	1460323	119400	26704	91752	167820	0	0	0	0	0	0	0	0	0	0	0	0	922667	19956	888000	960000	0	0	0	0	0	0	0	0	0	0	0	0	325077	53796	231725	390689	0	0	0	0	62734	19091	34947	96000	0	0	0	0	43.23	6.91	29.48	50.47	44162	9877	33936	62069	0	0	0	0	42.25	6.38	40.00	60.29	2672473	982101	1397895	4493953	0	0	0	0	0	0	0	0	0	0	0	0	0	1898667	62425	1752000	1968000	650923	99633	460433	776275	686996	94981	498122	814295	0	0	0	0	1427	38	1359	1485
	110	20	APR	46449314	44584125	3553155	39007567	48942070	50.00	0	50.00	50.00	1256769	0	0	0	0	0	0	0	1333461	50155	1274382	1416291	119400	26704	91752	167820	0	0	0	0	0	0	0	0	0	0	0	0	925333	22940	888000	960000	0	0	0	0	0	0	0	0	0	0	0	0	243949	76294	124951	342420	0	0	0	0	44779	13643	29518	68365	0	0	0	0	43.13	6.92	29.44	50.25	44162	9877	33936	62070	0	0	0	0	42.52	7.13	40.00	62.70	1865190	507489	1180721	2734599	0	0	0	0	0	0	0	0	0	0	0	0	0	1901333	63777	1776000	1992000	732051	104786	598992	883049	727604	96854	573393	869481	0	0	0	0	1293	132	1092	1437
	111	21	APR	42400635	40828528	3222842	36777754	46855382	49.51	1.01	46.88	50.00	1209405	0	0	0	0	0	0	0	1249325	53600	1197639	1355695	119400	26704	91752	167820	0	0	0	0	0	0	0	0	0	0	0	0	922388	32112	864000	984000	0	0	0	0	0	0	0	0	0	0	0	0	170899	63023	81799	281908	0	0	0	0	36638	8130	22582	48245	0	0	0	0	43.14	6.94	29.49	50.14	44162	9877	33936	62069	0	0	0	0	42.28	6.46	40.00	60.54	1572108	543719	903274	2889122	0	0	0	0	0	0	0	0	0	0	0	0	0	1909333	58909	1824000	2016000	816046	84201	678092	928331	791084	80221	675612	914730	0	0	0	0	1204	139	1039	1440
	112	22	APR	40112402	38817532	2876479	33308182	42797605	48.61	1.97	44.38	50.00	1183086	0	0	0	0	0	0	0	1201734	51323	1100288	1289857	119400	26704	91752	167820	0	0	0	0	0	0	0	0	0	0	0	0	919584	32967	864000	960000	0	0	0	0	0	0	0	0	0	0	0	0	132642	50970	40727	183952	0	0	0	0	30108	11783	8668	49133	0	0	0	0	43.28	7.03	29.55	50.25	44162	9877	33936	62070	0	0	0	0	42.02	5.72	40.00	58.19	1294869	635593	346706	2661180	0	0	0	0	0	0	0	0	0	0	0	0	0	1906667	46800	1824000	1992000	854441	64738	784108	961792	826794	69328	737493	939999	0	0	0	0	1123	127	963	1416
	113	23	APR	41421137	39986399	3152821	33535408	44438462	49.37	1.77	44.38	50.00	1198129	0	0	0	0	0	0	0	1230094	45508	1117619	1288178	119399	26705	91752	167820	0	0	0	0	0	0	0	0	0	0	0	0	920888	33825	864000	960000	0	0	0	0	0	0	0	0	0	0	0	0	155106	64027	26714	265249	0	0	0	0	34700	12089	19657	62732	0	0	0	0	43.38	7.05	29.65	50.01	44162	9877	33936	62069	0	0	0	0	41.57	4.45	40.00	54.16	1434739	489429	786270	2509290	0	0	0	0	0	0	0	0	0	0	0	0	0	1901333	50315	1848000	2016000	825339	75958	736075	973294	810487	66443	738136	946081	0	0	0	0	1155	127	976	1416
	114	24	APR	45058624	43235241	3012766	37172556	47004143	50.00	0	50.00	50.00	1253063	0	0	0	0	0	0	0	1309736	47062	1210047	1369480	119399	26705	91752	167820	0	0	0	0	0	0	0	0	0	0	0	0	941333	41995	888000	1008000	0	0	0	0	0	0	0	0	0	0	0	0	205771	54336	88251	293193	0	0	0	0	43233	13058	25925	68058	0	0	0	0	43.44	7.09	29.62	50.17	44162	9877	33936	62070	0	0	0	0	41.64	4.65	40.00	54.79	1823383	690640	1037016	3284831	0	0	0	0	0	0	0	0	0	0	0	0	0	1917333	62425	1824000	2064000	770229	69234	656414	895749	778488	58282	696190	889959	0	0	0	0	1250	123	1070	1464
	115	25	APR	48893790	46629165	2214602	42666850	49430458	50.00	0	50.00	50.00	1297950	0	0	0	0	0	0	0	1390472	30895	1348344	1454851	119399	26705	91752	167820	0	0	0	0	0	0	0	0	0	0	0	0	946667	43980	888000	1008000	0	0	0	0	0	0	0	0	0	0	0	0	269917	42452	214937	367009	0	0	0	0	54490	18006	29218	88000	0	0	0	0	43.40	7.08	29.58	50.28	44162	9877	33936	62069	0	0	0	0	41.89	5.35	40.00	57.01	2264625	727917	1168701	3520000	0	0	0	0	0	0	0	0	0	0	0	0	0	1938667	59628	1848000	2064000	722083	47474	661610	797808	753022	39843	703739	817213	0	0	0	0	1338	88	1174	1464
	116	26	APR	49210737	46646434	2555840	42819011	50653950	50.00	0	50.00	50.00	1304397	0	0	0	0	0	0	0	1399489	52028	1316828	1512579	119399	26705	91752	167820	0	0	0	0	0	0	0	0	0	0	0	0	954667	38827	888000	1008000	0	0	0	0	0	0	0	0	0	0	0	0	264662	55576	197746	357879	0	0	0	0	60761	16210	30250	80000	0	0	0	0	43.26	7.09	29.55	50.20	44162	9877	33935	62070	0	0	0	0	41.97	5.57	40.00	57.71	2564303	811259	1209988	3987676	0	0	0	0	0	0	0	0	0	0	0	0	0	1952000	45255	1896000	2064000	732671	42578	650121	782820	756345	39157	714022	829413	0	0	0	0	1366	94	1197	1464
	117	27	APR	45535205	43154330	2967007	37455750	46581679	50.00	0	50.00	50.00	1254172	0	0	0	0	0	0	0	1320029	49167	1234799	1401740	119399	26705	91752	167820	0	0	0	0	0	0	0	0	0	0	0	0	944000	35777	864000	984000	0	0	0	0	0	0	0	0	0	0	0	0	202287	69234	93915	319409	0	0	0	0	54344	19921	27778	79172	0	0	0	0	43.12	7.16	29.31	50.04	44162	9877	33936	62069	0	0	0	0	43.01	8.53	40.00	67.13	2380875	1110654	1111123	4654458	0	0	0	0	0	0	0	0	0	0	0	0	0	1936000	33941	1896000	2016000	789713	47891	736591	890085	779673	45790	729952	862859	0	0	0	0	1264	129	1067	1428
	118	28	APR	40329478	39112017	3186796	35368399	44665078	48.96	1.95	45.00	50.00	1194979	0	0	0	0	0	0	0	1209584	63336	1110396	1308987	119399	26705	91752	167820	0	0	0	0	0	0	0	0	0	0	0	0	930302	35059	864000	984000	0	0	0	0	0	0	0	0	0	0	0	0	131029	66611	59181	272889	0	0	0	0	28854	12223	17526	60058	0	0	0	0	43.16	7.20	29.34	49.81	44162	9877	33935	62070	0	0	0	0	42.99	8.46	40.00	66.93	1217461	486386	701053	2402312	0	0	0	0	0	0	0	0	0	0	0	0	0	1928000	46648	1872000	2016000	866669	41901	807111	958095	846386	44283	784715	942686	0	0	0	0	1115	115	1005	1338
	119	29	APR	38402512	37506033	2172289	34248022	41459992	47.08	2.22	42.50	50.00	1177309	0	0	0	0	0	0	0	1171135	38578	1133186	1253621	119399	26705	91759	167820	0	0	0	0	0	0	0	0	0	0	0	0	932355	40556	840000	981502	0	0	0	0	0	0	0	0	0	0	0	0	97472	57488	18977	241200	0	0	0	0	21909	8013	13969	41329	0	0	0	0	43.36	7.22	29.65	49.93	44162	9877	33936	62069	0	0	0	0	41.62	4.57	40.00	54.55	896479	308750	558758	1653179	0	0	0	0	0	0	0	0	0	0	0	0	0	1925333	56317	1824000	2016000	895506	59420	825518	1021618	877810	57910	810304	1002514	0	0	0	0	1072	78	995	1265
	120	30	APR	39092413	37493949	2597324	33484596	40963478	47.99	2.53	41.87	50.00	1175292	0	0	0	0	0	0	0	1187117	55390	1111927	1324235	119399	26705	91764	167820	0	0	0	0	0	0	0	0	0	0	0	0	929955	37385	840000	984000	0	0	0	0	0	0	0	0	0	0	0	0	98910	56008	13201	206233	0	0	0	0	38853	15115	17182	63065	0	0	0	0	43.50	7.26	29.81	50.05	44162	9877	33935	62070	0	0	0	0	40.86	2.42	40.00	47.70	1598464	657135	687275	2523119	0	0	0	0	0	0	0	0	0	0	0	0	0	1925333	41995	1848000	1992000	896468	59013	781530	1016955	887349	65172	767183	1025051	0	0	0	0	1074	74	974	1215
	121	01	MAY	42036234	40169598	3189579	36495006	45508733	49.51	1.37	45.62	50.00	1223561	0	0	0	0	0	0	0	1278061	58930	1212508	1423161	143147	37997	77904	193824	0	0	0	0	0	0	0	0	0	0	0	0	950674	33846	888000	1008000	0	0	0	0	0	0	0	0	0	0	0	0	137920	65849	36555	254975	0	0	0	0	46320	13073	23959	67483	0	0	0	0	43.62	7.27	29.94	50.41	64312	17072	35000	87079	0	0	0	0	40.37	1.05	40.00	43.34	1866636	546228	958373	2823698	0	0	0	0	0	0	0	0	0	0	0	0	0	1938667	55168	1824000	2040000	850073	79795	727908	1007382	853291	78412	744457	1009211	0	0	0	0	1134	80	1049	1287
	122	02	MAY	44432962	41235590	2915224	37502450	45985700	50.00	0	50.00	50.00	1239467	0	0	0	0	0	0	0	1333067	59862	1212665	1452826	143147	37997	77904	193824	0	0	0	0	0	0	0	0	0	0	0	0	954667	31552	912000	1008000	0	0	0	0	0	0	0	0	0	0	0	0	156445	68906	46683	251137	0	0	0	0	78809	26309	40169	106666	0	0	0	0	43.65	7.30	29.89	50.50	64312	17072	35000	87079	0	0	0	0	40.44	1.24	40.00	43.93	3197372	1104839	1606769	4635153	0	0	0	0	0	0	0	0	0	0	0	0	0	1928000	51846	1848000	2040000	816888	90288	681086	985317	827090	82524	692866	971185	0	0	0	0	1189	115	1060	1359
	123	03	MAY	44266681	41397727	2963988	38050950	47393587	50.00	0	50.00	50.00	1251813	0	0	0	0	0	0	0	1332204	55578	1195127	1395521	143147	37997	77904	193824	0	0	0	0	0	0	0	0	0	0	0	0	968000	33941	912000	1008000	0	0	0	0	0	0	0	0	0	0	0	0	150355	71089	55442	309472	0	0	0	0	70703	22920	39218	114493	0	0	0	0	43.51	7.24	29.87	50.34	64312	17072	35000	87079	0	0	0	0	40.60	1.70	40.00	45.40	2868955	943076	1568732	4579736	0	0	0	0	0	0	0	0	0	0	0	0	0	1946667	47253	1872000	2016000	828312	75647	674528	952558	835236	77934	682730	958473	0	0	0	0	1203	98	1092	1392
	124	04	MAY	41015998	39329826	3281494	36157990	46579410	48.68	1.85	44.37	50.00	1222033	0	0	0	0	0	0	0	1260327	65757	1125085	1352756	143147	37997	77904	193824	0	0	0	0	0	0	0	0	0	0	0	0	961634	34316	888000	1004544	0	0	0	0	0	0	0	0	0	0	0	0	113452	79219	19979	309988	0	0	0	0	42094	17444	13404	72909	0	0	0	0	43.61	7.22	30.15	50.47	64312	17072	35000	87079	0	0	0	0	40.14	0.41	40.00	41.29	1686172	695803	536171	2916342	0	0	0	0	0	0	0	0	0	0	0	0	0	1936000	64000	1824000	2040000	860913	109715	626012	1015477	861059	93249	676248	1016461	0	0	0	0	1116	100	1033	1366
