Area-2	area	de	monthly
	VARIABLES	BEGIN	END
	3	1	12

Area-2	monthly		thermal-3	thermal-3	thermal-3
			MWh	NP Cost - Euro	NODU
	index	month	EXP	EXP	EXP
	1	JAN	70667	0	707
	2	FEB	67200	0	672
	3	MAR	74400	0	744
	4	APR	72000	0	720
	5	MAY	74400	0	744
	6	JUN	72000	0	720
	7	JUL	74400	0	744
	8	AUG	74400	0	744
	9	SEP	72000	0	720
	10	OCT	74400	0	744
	11	NOV	72000	0	720
	12	DEC	66400	0	664
