C	area	va	hourly
	VARIABLES	BEGIN	END
	122	1	8736

C	hourly				OV. COST	OP. COST	OP. COST	OP. COST	OP. COST	MRG. PRICE	MRG. PRICE	MRG. PRICE	MRG. PRICE	CO2 EMIS.	BALANCE	BALANCE	BALANCE	BALANCE	ROW BAL.	PSP	MISC. NDG	LOAD	LOAD	LOAD	LOAD	H. ROR	H. ROR	H. ROR	H. ROR	WIND	WIND	WIND	WIND	SOLAR	SOLAR	SOLAR	SOLAR	NUCLEAR	NUCLEAR	NUCLEAR	NUCLEAR	LIGNITE	LIGNITE	LIGNITE	LIGNITE	COAL	COAL	COAL	COAL	GAS	GAS	GAS	GAS	OIL	OIL	OIL	OIL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MISC. DTG	MISC. DTG	MISC. DTG	MISC. DTG	H. STOR	H. STOR	H. STOR	H. STOR	H. PUMP	H. PUMP	H. PUMP	H. PUMP	H. LEV	H. LEV	H. LEV	H. LEV	H. INFL	H. INFL	H. INFL	H. INFL	H. OVFL	H. OVFL	H. OVFL	H. OVFL	H. VAL	H. VAL	H. VAL	H. VAL	H. COST	H. COST	H. COST	H. COST	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	LOLD	LOLD	LOLD	LOLD	LOLP	AVL DTG	AVL DTG	AVL DTG	AVL DTG	DTG MRG	DTG MRG	DTG MRG	DTG MRG	MAX MRG	MAX MRG	MAX MRG	MAX MRG	NP COST	NP COST	NP COST	NP COST	NODU	NODU	NODU	NODU
					Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Tons	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	%	%	%	%	MWh	MWh	MWh	MWh	%	%	%	%	Euro/MWh	Euro/MWh	Euro/MWh	Euro/MWh	Euro	Euro	Euro	Euro	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	Hours	Hours	Hours	Hours	%	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	Euro	Euro	Euro	Euro	 	 	 	 
	index	day	month	hour	EXP	EXP	std	min	max	EXP	std	min	max	EXP	EXP	std	min	max	values	EXP	EXP	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	values	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max
	1	01	JAN	00:00	2024406	2010961	1079288	0	2750800	42.22	24.39	0	80.00	48398	0	0	0	0	0	0	0	68808	2661	65159	74833	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	18441	10202	0	28416	0	0	0	0	336	951	0	3025	0	0	0	0	48.09	27.15	0	76.06	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	13444	38027	0	121000	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	14225	8107	0	23723	14079	8242	0	23723	0	0	0	0	50	27	0	67
	2	01	JAN	01:00	1973334	1964490	1056268	0	2715000	42.22	24.39	0	80.00	47841	0	0	0	0	0	0	0	67447	2598	63863	72980	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	17512	9806	0	27000	0	0	0	0	221	422	0	1172	0	0	0	0	48.10	27.16	0	76.09	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	8844	16879	0	46880	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	15155	8692	0	25837	14934	8593	0	25019	0	0	0	0	50	27	0	67
	3	01	JAN	02:00	1912885	1887826	1020787	0	2715000	42.22	24.39	0	80.00	46921	0	0	0	0	0	0	0	66013	2736	62833	72118	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	15979	9228	0	27000	0	0	0	0	626	1665	0	5328	0	0	0	0	48.11	27.17	0	76.12	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	25060	66607	0	213136	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	16688	9629	0	26725	16061	9150	0	26049	0	0	0	0	50	27	0	67
	4	01	JAN	03:00	1844937	1789732	967498	0	2665350	38.89	20.79	0	50.00	45743	0	0	0	0	0	0	0	64659	2866	60811	70815	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	14017	8204	0	26007	0	0	0	0	1380	2693	0	7837	0	0	0	0	48.11	27.17	0	76.15	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	55206	107735	0	313468	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	18650	10698	0	28517	17270	9791	0	28071	0	0	0	0	50	27	0	67
	5	01	JAN	04:00	1808183	1781517	973518	0	2570350	38.89	20.79	0	50.00	45645	0	0	0	0	0	0	0	63640	2571	59535	68915	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	13853	8521	0	24107	0	0	0	0	889	2514	0	8000	0	0	0	0	48.12	27.17	0	76.10	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	26667	75425	0	240000	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	18814	11065	0	33924	17925	10094	0	29347	0	0	0	0	50	27	0	67
	6	01	JAN	05:00	1787584	1767208	953762	0	2561150	38.89	20.79	0	50.00	45473	0	0	0	0	0	0	0	62774	2825	58381	68731	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	13566	8079	0	23923	0	0	0	0	509	1441	0	4585	0	0	0	0	48.13	27.18	0	76.13	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	20376	57632	0	183383	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	19100	10886	0	30501	18591	10525	0	30501	0	0	0	0	50	27	0	67
	7	01	JAN	06:00	1768630	1745816	950315	0	2533250	38.89	20.79	0	50.00	45216	0	0	0	0	0	0	0	62339	2714	58327	68173	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	13139	8163	0	23365	0	0	0	0	570	1613	0	5133	0	0	0	0	48.14	27.18	0	76.16	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	22814	64527	0	205324	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	19528	11395	0	35688	18958	10677	0	30555	0	0	0	0	50	27	0	67
	8	01	JAN	07:00	1751667	1725000	945796	0	2535400	38.89	20.79	0	50.00	44967	0	0	0	0	0	0	0	62168	2770	58319	68216	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	12722	8089	0	23408	0	0	0	0	889	2514	0	8000	0	0	0	0	48.15	27.18	0	76.11	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	26667	75425	0	240000	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	19944	11723	0	35775	19056	10752	0	30563	0	0	0	0	50	27	0	67
	9	01	JAN	08:00	1758580	1707716	943860	0	2577550	38.89	20.79	0	50.00	44759	0	0	0	0	0	0	0	62662	2835	58663	69059	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	12377	8123	0	24251	0	0	0	0	1695	3177	0	8000	0	0	0	0	48.14	27.17	0	76.06	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	50864	95302	0	240000	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	20290	11804	0	35628	18595	10548	0	30219	0	0	0	0	50	27	0	67
	10	01	JAN	09:00	1789068	1738720	959713	0	2585850	38.89	20.79	0	50.00	45131	0	0	0	0	0	0	0	63174	2557	60079	69225	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	12997	8498	0	24417	0	0	0	0	1481	2841	0	8000	0	0	0	0	48.14	27.17	0	76.01	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	50348	94406	0	240000	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	19670	11800	0	35591	18189	10310	0	28803	0	0	0	0	50	27	0	67
	11	01	JAN	10:00	1849333	1849333	996179	0	2620250	38.89	20.79	0	50.00	46459	0	0	0	0	0	0	0	64053	2442	61306	69913	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	15209	8636	0	25105	0	0	0	0	0	0	0	0	0	0	0	0	48.16	27.18	0	76.04	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	17458	9941	0	27576	17458	9941	0	27576	0	0	0	0	50	27	0	67
	12	01	JAN	11:00	1873983	1847317	1010310	0	2660950	38.89	20.79	0	50.00	46434	0	0	0	0	0	0	0	65083	2504	61985	70727	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	15169	9201	0	25919	0	0	0	0	889	2514	0	8000	0	0	0	0	48.16	27.18	0	75.99	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	26667	75425	0	240000	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	17498	10563	0	33118	16609	9494	0	26897	0	0	0	0	50	27	0	67
	13	01	JAN	12:00	1922586	1921461	1034205	0	2715000	42.22	24.39	0	80.00	47324	0	0	0	0	0	0	0	65968	2622	62771	72061	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	16651	9346	0	27000	0	0	0	0	28	80	0	253	0	0	0	0	48.18	27.19	0	76.02	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	1124	3180	0	10120	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	16015	9206	0	26111	15987	9209	0	26111	0	0	0	0	50	27	0	67
	14	01	JAN	13:00	1969465	1944525	1045312	0	2715000	42.22	24.39	0	80.00	47601	0	0	0	0	0	0	0	67285	2457	64196	72835	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	17113	9668	0	27000	0	0	0	0	624	1437	0	4585	0	0	0	0	48.19	27.19	0	76.05	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	24940	57464	0	183383	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	15554	9024	0	24686	15026	8680	0	24686	0	0	0	0	50	27	0	67
	15	01	JAN	14:00	2026510	2012039	1079761	0	2715000	42.22	24.39	0	80.00	48411	0	0	0	0	0	0	0	68604	2532	65575	74617	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	18463	10160	0	27114	0	0	0	0	378	879	0	2809	0	0	0	0	48.20	27.20	0	76.08	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	14471	35055	0	112360	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	14204	8154	0	23307	14091	8169	0	23307	0	0	0	0	50	27	0	67
	16	01	JAN	15:00	2069337	2041428	1094428	0	2733250	42.22	24.39	0	80.00	48764	0	0	0	0	0	0	0	69802	2858	66923	76700	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	19051	10394	0	28065	0	0	0	0	749	1574	0	4892	0	0	0	0	48.21	27.20	0	76.11	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	27909	61789	0	195680	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	13616	7716	0	21673	13638	7854	0	21673	0	0	0	0	51	27	0	68
	17	01	JAN	16:00	2111569	2057971	1104617	0	2800350	42.22	24.39	0	80.00	48962	0	0	0	0	0	0	0	71207	3181	67464	78423	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	19382	10538	0	29001	0	0	0	0	1542	2888	0	7259	0	0	0	0	48.21	27.20	0	76.14	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	53597	100877	0	264600	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	13285	7320	0	20524	13238	7630	0	21580	0	0	0	0	51	27	0	70
	18	01	JAN	17:00	2133485	2062124	1109344	0	2828700	42.22	24.39	0	80.00	49008	0	0	0	0	0	0	0	71811	3393	68410	79961	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	17	48	0	153	19438	10715	0	29974	0	0	0	0	1885	2860	0	8000	0	0	0	0	48.20	27.20	0	76.17	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	71361	112497	0	320000	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	13212	7610	0	22058	13155	7570	0	21580	0	0	0	0	51	28	0	70
	19	01	JAN	18:00	2144771	2068081	1119958	0	2839150	42.22	24.39	0	80.00	49061	0	0	0	0	0	0	0	72300	3347	68958	80594	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	87	247	0	786	19444	10934	0	30000	0	0	0	0	2237	3259	0	8000	0	0	0	0	48.19	27.19	0	76.11	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	76690	114854	0	320000	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	13135	7993	0	26339	13046	7507	0	21580	0	0	0	0	52	28	0	70
	20	01	JAN	19:00	2180247	2126731	1139436	0	2842280	42.22	24.39	0	80.00	49741	0	0	0	0	0	0	0	72539	3547	68094	81399	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	177	500	0	1591	20474	11048	0	30000	0	0	0	0	1454	2649	0	8000	0	0	0	0	48.20	27.19	0	76.14	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	53516	101968	0	320000	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	12016	6673	0	18954	13014	7461	0	21580	0	0	0	0	52	28	0	70
	21	01	JAN	20:00	2154731	2076926	1123668	0	2830680	42.22	24.39	0	80.00	49148	0	0	0	0	0	0	0	72364	3546	67901	81254	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	161	454	0	1446	19504	10915	0	30000	0	0	0	0	2269	3259	0	8000	0	0	0	0	48.19	27.18	0	76.09	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	77806	114735	0	320000	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	13002	7853	0	25915	13049	7455	0	21580	0	0	0	0	52	28	0	70
	22	01	JAN	21:00	2134489	2060624	1115490	0	2830000	42.22	24.39	0	80.00	48968	0	0	0	0	0	0	0	71910	3519	67678	80702	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	99	281	0	894	19276	10850	0	30000	0	0	0	0	2160	3280	0	8000	0	0	0	0	48.18	27.17	0	76.04	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	73864	115784	0	320000	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	13292	8051	0	26538	13139	7511	0	21580	0	0	0	0	52	28	0	70
	23	01	JAN	22:00	2128309	2071624	1114026	0	2830000	42.22	24.39	0	80.00	49096	0	0	0	0	0	0	0	71488	3258	67773	79760	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	116	329	0	1047	19469	10656	0	30000	0	0	0	0	1619	2924	0	7259	0	0	0	0	48.18	27.17	0	76.07	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	56685	102768	0	276192	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	13082	7230	0	19400	13261	7582	0	21580	0	0	0	0	52	28	0	70
	24	01	JAN	23:00	2087956	2054328	1100611	0	2773700	42.22	24.39	0	80.00	48919	0	0	0	0	0	0	0	70102	3315	66255	78685	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	19309	10525	0	28874	0	0	0	0	866	2144	0	6877	0	0	0	0	48.19	27.17	0	76.10	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	33628	85798	0	275080	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	13358	7511	0	20642	13497	7735	0	21580	0	0	0	0	52	28	0	70
	25	02	JAN	00:00	2221849	2139198	1190532	0	3602360	42.22	24.39	0	80.00	49252	0	0	0	0	0	0	0	72990	3671	69664	82525	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	30667	16499	0	44000	0	0	0	0	0	0	0	0	1302	3682	0	11717	19234	10657	0	30000	0	0	0	0	2178	2762	0	6783	0	0	0	0	48.18	27.17	0	76.13	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	82652	108189	0	271331	0	0	0	0	0	0	0	0	0	0	0	0	0	81222	2529	76000	85000	12019	8384	0	23275	12643	7282	0	21580	0	0	0	0	53	28	0	77
	26	02	JAN	01:00	2144410	2064896	1109133	0	2821560	42.22	24.39	0	80.00	48642	0	0	0	0	0	0	0	71760	3494	68686	80765	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	30667	16499	0	44000	0	0	0	0	0	0	0	0	217	615	0	1957	19483	10473	0	27292	0	0	0	0	2058	3270	0	8000	0	0	0	0	48.17	27.16	0	76.16	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	79514	130647	0	320000	0	0	0	0	0	0	0	0	0	0	0	0	0	81222	2529	76000	85000	12855	7265	0	20934	12817	7315	0	21580	0	0	0	0	53	28	0	74
	27	02	JAN	02:00	2114715	2047019	1128934	0	3324040	42.22	24.39	0	80.00	48246	0	0	0	0	0	0	0	70263	3347	67552	79046	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	30667	16499	0	44000	0	0	0	0	0	0	0	0	915	2589	0	8238	18009	9937	0	26251	0	0	0	0	1713	3034	0	8000	0	0	0	0	48.17	27.17	0	76.19	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	67696	121638	0	320000	0	0	0	0	0	0	0	0	0	0	0	0	0	81222	2529	76000	85000	13631	8855	0	25459	13137	7497	0	21580	0	0	0	0	53	28	0	74
	28	02	JAN	03:00	2043301	1981079	1096697	0	3184360	42.22	24.39	0	80.00	47505	0	0	0	0	0	0	0	68734	3287	65414	77300	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	30667	16499	0	44000	0	0	0	0	0	0	0	0	721	2040	0	6492	17001	9673	0	26000	0	0	0	0	1778	3326	0	8000	0	0	0	0	48.17	27.16	0	76.14	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	62222	117924	0	320000	0	0	0	0	0	0	0	0	0	0	0	0	0	81222	2529	76000	85000	14833	9617	0	29021	13672	7858	0	21580	0	0	0	0	52	28	0	72
	29	02	JAN	04:00	2023171	2023171	1098024	0	3089640	42.22	24.39	0	80.00	48045	0	0	0	0	0	0	0	67614	3311	64018	76116	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	30667	16499	0	44000	0	0	0	0	0	0	0	0	590	1668	0	5308	18053	9931	0	27685	0	0	0	0	0	0	0	0	0	0	0	0	48.18	27.17	0	76.17	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81222	2529	76000	85000	13913	8317	0	21958	14187	8218	0	21958	0	0	0	0	52	28	0	71
	30	02	JAN	05:00	1973373	1923643	1038538	0	2682500	42.22	24.39	0	80.00	47004	0	0	0	0	0	0	0	67181	3269	63763	75311	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	30667	16499	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	17006	9716	0	27750	0	0	0	0	1243	2382	0	6686	0	0	0	0	48.19	27.17	0	76.20	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	49730	95287	0	267454	0	0	0	0	0	0	0	0	0	0	0	0	0	81222	2529	76000	85000	15549	9131	0	27640	14477	8401	0	22617	0	0	0	0	52	28	0	70
	31	02	JAN	06:00	1941580	1865765	1021532	0	2665000	42.22	24.39	0	80.00	46309	0	0	0	0	0	0	0	66757	3283	63327	75180	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	30667	16499	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	15849	9622	0	26998	0	0	0	0	2118	3117	0	8000	0	0	0	0	48.18	27.17	0	76.15	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	75815	109536	0	267454	0	0	0	0	0	0	0	0	0	0	0	0	0	81222	2529	76000	85000	16707	10282	0	30974	14746	8563	0	22974	0	0	0	0	52	28	0	70
	32	02	JAN	07:00	1979053	1979053	1074864	0	3024680	42.22	24.39	0	80.00	47539	0	0	0	0	0	0	0	66592	3444	63110	75304	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	30667	16499	0	44000	0	0	0	0	0	0	0	0	500	1413	0	4496	17315	9609	0	26956	0	0	0	0	0	0	0	0	0	0	0	0	48.19	27.18	0	76.18	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81222	2529	76000	85000	14741	8724	0	23226	14911	8655	0	23226	0	0	0	0	52	28	0	70
	33	02	JAN	08:00	1955273	1907411	1039911	0	2665000	42.22	24.39	0	80.00	46809	0	0	0	0	0	0	0	66861	3491	62983	75577	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	30667	16499	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	16682	9820	0	27330	0	0	0	0	1419	2761	0	8000	0	0	0	0	48.20	27.18	0	76.13	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	47862	90291	0	240000	0	0	0	0	0	0	0	0	0	0	0	0	0	81222	2529	76000	85000	15874	9569	0	31099	14656	8466	0	23099	0	0	0	0	52	28	0	70
	34	02	JAN	09:00	1973582	1923811	1044518	0	2689450	42.22	24.39	0	80.00	47006	0	0	0	0	0	0	0	67287	3514	63667	76224	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	30667	16499	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	17010	9802	0	27889	0	0	0	0	1458	2782	0	7710	0	0	0	0	48.20	27.17	0	76.16	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	49771	93177	0	231301	0	0	0	0	0	0	0	0	0	0	0	0	0	81222	2529	76000	85000	15546	8729	0	23976	14360	8263	0	22551	0	0	0	0	52	28	0	70
	35	02	JAN	10:00	2010582	1946844	1045581	0	2665000	42.22	24.39	0	80.00	47282	0	0	0	0	0	0	0	68182	3602	64123	77149	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	30667	16499	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	17470	9462	0	26000	0	0	0	0	1593	3007	0	8000	0	0	0	0	48.19	27.17	0	76.19	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	63738	120264	0	320000	0	0	0	0	0	0	0	0	0	0	0	0	0	81222	2529	76000	85000	15085	8437	0	23182	13867	7966	0	22306	0	0	0	0	52	28	0	70
	36	02	JAN	11:00	2033546	1966306	1055826	0	2665000	42.22	24.39	0	80.00	47516	0	0	0	0	0	0	0	68857	3579	64523	77937	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	30667	16499	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	17859	9645	0	26000	0	0	0	0	1681	3152	0	8000	0	0	0	0	48.19	27.17	0	76.22	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	67240	126062	0	320000	0	0	0	0	0	0	0	0	0	0	0	0	0	81222	2529	76000	85000	14696	8204	0	22827	13508	7704	0	21582	0	0	0	0	52	28	0	70
	37	02	JAN	12:00	2058623	1995621	1082662	0	2795000	42.22	24.39	0	80.00	47863	0	0	0	0	0	0	0	69854	3645	65293	78976	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	30667	16499	0	44000	0	0	0	0	0	0	0	0	19	53	0	168	18416	10468	0	30000	0	0	0	0	1789	3245	0	8000	0	0	0	0	48.19	27.17	0	76.25	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	63002	115674	0	320000	0	0	0	0	0	0	0	0	0	0	0	0	0	81222	2529	76000	85000	14121	7931	0	22350	13287	7581	0	21580	0	0	0	0	52	28	0	70
	38	02	JAN	13:00	2089383	1996474	1093121	0	2795000	42.22	24.39	0	80.00	47848	0	0	0	0	0	0	0	71079	3584	66768	79852	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	30667	16499	0	44000	0	0	0	0	0	0	0	0	116	328	0	1044	18277	10637	0	30000	0	0	0	0	2759	3654	0	8000	0	0	0	0	48.18	27.15	0	76.20	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	92909	123750	0	320000	0	0	0	0	0	0	0	0	0	0	0	0	0	81222	2529	76000	85000	14162	8479	0	27315	12951	7389	0	21580	0	0	0	0	52	28	0	70
	39	02	JAN	14:00	2164291	2084543	1130482	0	2888300	42.22	24.39	0	80.00	48882	0	0	0	0	0	0	0	72563	3435	68108	80641	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	30667	16499	0	44000	0	0	0	0	0	0	0	0	204	576	0	1833	19898	11118	0	30000	0	0	0	0	2249	3219	0	8000	0	0	0	0	48.17	27.14	0	76.15	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	79748	114991	0	320000	0	0	0	0	0	0	0	0	0	0	0	0	0	81222	2529	76000	85000	12454	7587	0	25690	12601	7244	0	21580	0	0	0	0	52	28	0	71
