C	area	id	hourly
	VARIABLES	BEGIN	END
	58	1	8736

C	hourly				OP. COST	OP. COST	MRG. PRICE	MRG. PRICE	BALANCE	BALANCE	LOAD	LOAD	H. ROR	H. ROR	WIND	WIND	SOLAR	SOLAR	NUCLEAR	NUCLEAR	LIGNITE	LIGNITE	COAL	COAL	GAS	GAS	OIL	OIL	MIX. FUEL	MIX. FUEL	MISC. DTG	MISC. DTG	H. STOR	H. STOR	H. PUMP	H. PUMP	H. LEV	H. LEV	H. INFL	H. INFL	H. OVFL	H. OVFL	H. VAL	H. VAL	H. COST	H. COST	UNSP. ENRG	UNSP. ENRG	SPIL. ENRG	SPIL. ENRG	LOLD	LOLD	AVL DTG	AVL DTG	DTG MRG	DTG MRG	MAX MRG	MAX MRG	NP COST	NP COST	NODU	NODU
					Euro	Euro	Euro	Euro	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	%	%	MWh	MWh	%	%	Euro/MWh	Euro/MWh	Euro	Euro	MWh	MWh	MWh	MWh	Hours	Hours	MWh	MWh	MWh	MWh	MWh	MWh	Euro	Euro	 	 
	index	day	month	hour	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max
	2043	27	MAR	02:00	4	6	3	9	1	1	9	6	6	1	1	1	1	1	1	1	9	1	1	1	1	1	1	1	4	6	1	1	2	4	1	1	3	1	6	1	1	1	1	1	2	4	1	1	1	1	1	1	2	7	6	7	6	4	1	1	4	5
	2044	27	MAR	03:00	4	3	3	9	1	1	9	6	6	1	1	1	1	1	1	1	9	1	1	1	1	1	1	1	4	3	1	1	1	4	1	1	3	1	6	1	1	1	1	1	1	4	1	1	1	1	1	1	2	7	3	4	6	1	1	1	4	5
	2045	27	MAR	04:00	4	3	3	9	1	1	9	6	6	1	1	1	1	1	1	1	9	1	1	1	1	1	1	1	4	3	1	1	1	6	1	1	3	1	6	1	1	1	1	1	1	6	1	1	1	1	1	1	2	7	3	9	6	9	1	1	4	5
	2046	27	MAR	05:00	4	3	3	9	1	1	4	6	6	1	1	1	1	1	1	1	9	1	1	1	1	1	1	1	4	3	1	1	3	4	1	1	3	1	6	1	1	1	1	1	3	4	1	1	1	1	1	1	2	7	3	4	6	1	1	1	4	5
	2047	27	MAR	06:00	4	6	3	9	1	1	4	6	6	1	1	1	1	1	1	1	9	1	1	1	1	1	1	1	4	6	1	1	3	4	1	1	3	1	6	1	1	1	1	1	3	4	1	1	1	1	1	1	2	7	6	4	6	1	1	1	4	5
	2048	27	MAR	07:00	1	6	3	9	1	1	4	6	6	1	1	1	1	1	1	1	9	1	1	1	1	1	1	1	1	6	1	1	2	7	1	1	3	1	6	1	1	1	1	1	2	7	1	1	1	1	1	1	2	7	6	1	6	1	1	1	4	5
	2049	27	MAR	08:00	4	3	3	9	1	1	9	6	6	1	1	1	1	1	1	1	9	1	1	1	1	1	1	1	4	3	1	1	3	4	1	1	3	1	6	1	1	1	1	1	3	4	1	1	1	1	1	1	2	7	3	4	6	1	1	1	4	5
	2050	27	MAR	09:00	2	6	3	9	1	1	9	6	6	1	1	1	1	1	1	1	9	1	1	1	1	1	1	1	7	6	1	1	1	7	1	1	3	1	6	1	1	1	1	1	1	7	1	1	1	1	1	1	2	7	6	7	6	1	1	1	4	5
	2051	27	MAR	10:00	5	6	3	9	1	1	9	6	6	1	1	1	1	1	1	1	9	1	1	1	1	1	1	1	5	6	1	1	1	5	1	1	3	1	6	1	1	1	1	1	1	5	1	1	1	1	1	1	2	7	6	5	6	1	1	1	4	5
	2052	27	MAR	11:00	9	6	3	9	1	1	9	6	6	1	1	1	1	1	1	1	9	1	1	1	1	1	1	1	4	6	1	1	1	1	1	1	3	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	2	7	6	1	6	4	1	1	4	5
	2053	27	MAR	12:00	4	7	3	9	1	1	9	6	6	1	1	1	1	1	1	1	9	1	1	1	1	1	1	1	4	3	1	1	1	4	1	1	3	1	6	1	1	1	1	1	1	4	1	1	1	1	1	1	2	7	2	4	6	4	1	1	4	5
	2054	27	MAR	13:00	1	6	3	9	1	1	9	6	6	1	1	1	1	1	1	1	9	1	1	1	1	1	1	1	1	6	1	1	2	7	1	1	3	1	6	1	1	1	1	1	2	7	1	1	1	1	1	1	2	7	6	1	6	4	1	1	4	5
	2055	27	MAR	14:00	9	6	3	9	1	1	9	6	6	1	1	1	1	1	1	1	9	1	1	1	1	1	1	1	9	6	1	1	1	9	1	1	3	1	6	1	1	1	1	1	1	9	1	1	1	1	1	1	2	7	6	9	6	4	1	1	4	5
	2056	27	MAR	15:00	9	6	3	9	1	1	9	6	6	1	1	1	1	1	1	1	9	1	1	1	1	1	1	1	4	6	1	1	1	8	1	1	3	1	6	1	1	1	1	1	1	8	1	1	1	1	1	1	2	7	6	8	6	4	1	1	4	6
	2057	27	MAR	16:00	3	6	3	6	1	1	9	6	6	1	1	1	1	1	1	1	9	1	1	1	1	1	1	1	3	6	1	1	1	3	1	1	3	1	6	1	1	1	1	1	1	3	1	1	1	1	1	1	2	7	6	3	8	4	1	1	4	6
	2058	27	MAR	17:00	4	3	3	9	1	1	9	6	6	1	1	1	1	1	1	1	9	1	1	1	1	1	1	1	4	3	1	1	2	4	1	1	3	1	6	1	1	1	1	1	2	4	1	1	1	1	1	1	2	7	2	1	8	4	1	1	4	6
	2059	27	MAR	18:00	4	6	3	6	1	1	9	6	6	1	1	1	1	1	1	1	9	1	1	1	1	1	1	1	4	6	1	1	1	4	1	1	3	1	6	1	1	1	1	1	1	4	1	1	1	1	1	1	2	7	6	9	8	9	1	1	4	6
	2060	27	MAR	19:00	1	6	3	9	1	1	9	6	6	1	1	1	1	1	1	1	9	1	1	1	1	1	1	1	1	6	1	1	2	7	1	1	3	1	6	1	1	1	1	1	2	7	1	1	1	1	1	1	2	7	2	1	6	9	1	1	1	6
	2061	27	MAR	20:00	3	6	3	9	1	1	9	6	6	1	1	1	1	1	1	1	9	1	1	1	1	1	1	1	3	6	1	1	1	7	1	1	3	1	6	1	1	1	1	1	1	7	1	1	1	1	1	1	2	7	6	7	8	9	1	1	4	6
	2062	27	MAR	21:00	3	6	3	6	1	1	9	6	6	1	1	1	1	1	1	1	9	1	1	1	1	1	1	1	2	6	1	1	1	3	1	1	3	1	6	1	1	1	1	1	1	3	1	1	1	1	1	1	2	7	6	3	8	9	1	1	4	6
	2063	27	MAR	22:00	4	6	3	6	1	1	9	6	6	1	1	1	1	1	1	1	9	1	1	1	1	1	1	1	4	6	1	1	1	4	1	1	3	1	6	1	1	1	1	1	1	4	1	1	1	1	1	1	2	7	6	4	6	4	1	1	4	6
	2064	27	MAR	23:00	1	6	3	6	1	1	9	6	6	1	1	1	1	1	1	1	9	1	1	1	1	1	1	1	1	6	1	1	2	3	1	1	3	1	6	1	1	1	1	1	2	3	1	1	1	1	1	1	2	7	6	1	6	7	1	1	4	6
	2065	28	MAR	00:00	9	6	3	9	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	9	6	1	1	1	8	1	1	3	1	6	1	1	1	1	1	1	8	1	1	1	1	1	1	2	6	2	9	8	7	1	1	1	6
	2066	28	MAR	01:00	4	6	3	9	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	4	6	1	1	1	3	1	1	3	1	6	1	1	1	1	1	1	3	1	1	1	1	1	1	2	6	6	5	8	7	1	1	1	6
	2067	28	MAR	02:00	9	3	3	9	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	9	3	1	1	1	7	1	1	3	1	6	1	1	1	1	1	1	7	1	1	1	1	1	1	2	6	2	9	8	7	1	1	1	6
	2068	28	MAR	03:00	3	6	3	9	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	7	6	1	1	1	3	1	1	3	1	6	1	1	1	1	1	1	3	1	1	1	1	1	1	2	6	2	7	8	4	1	1	1	6
	2069	28	MAR	04:00	1	6	3	9	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	1	6	1	1	2	1	1	1	3	1	6	1	1	1	1	1	2	1	1	1	1	1	1	1	2	6	2	1	2	4	1	1	1	6
	2070	28	MAR	05:00	4	6	3	9	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	4	6	1	1	1	3	1	1	3	1	6	1	1	1	1	1	1	3	1	1	1	1	1	1	2	6	2	4	2	4	1	1	1	6
	2071	28	MAR	06:00	1	6	3	9	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	1	3	1	1	3	1	1	1	3	1	6	1	1	1	1	1	3	1	1	1	1	1	1	1	2	6	3	7	8	4	1	1	1	6
	2072	28	MAR	07:00	1	6	3	9	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	1	3	1	1	2	1	1	1	3	1	6	1	1	1	1	1	2	1	1	1	1	1	1	1	2	6	3	1	8	4	1	1	1	6
	2073	28	MAR	08:00	9	6	3	9	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	1	3	1	1	2	1	1	1	3	1	6	1	1	1	1	1	2	1	1	1	1	1	1	1	2	6	3	9	8	4	1	1	1	6
	2074	28	MAR	09:00	9	6	3	9	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	2	3	1	1	1	1	1	1	3	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	2	6	3	9	8	4	1	1	1	6
	2075	28	MAR	10:00	5	6	3	9	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	5	8	1	1	1	3	1	1	3	1	6	1	1	1	1	1	1	3	1	1	1	1	1	1	2	6	8	7	8	4	1	1	1	6
	2076	28	MAR	11:00	9	6	3	9	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	9	3	1	1	1	9	1	1	3	1	6	1	1	1	1	1	1	9	1	1	1	1	1	1	2	6	3	9	8	7	1	1	1	6
	2077	28	MAR	12:00	5	6	3	9	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	5	3	1	1	1	4	1	1	3	1	6	1	1	1	1	1	1	4	1	1	1	1	1	1	2	6	3	5	8	7	1	1	1	6
	2078	28	MAR	13:00	5	6	8	3	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	5	3	1	1	1	7	1	1	3	1	6	1	1	1	1	1	1	7	1	1	1	1	1	1	2	6	8	7	8	7	1	1	1	6
	2079	28	MAR	14:00	9	1	3	9	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	9	1	1	1	1	3	1	1	3	1	6	1	1	1	1	1	1	3	1	1	1	1	1	1	2	6	1	7	8	7	1	1	4	6
	2080	28	MAR	15:00	9	6	5	8	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	9	6	1	1	2	4	1	1	3	1	6	1	1	1	1	1	2	4	1	1	1	1	1	1	2	6	2	9	8	7	1	1	4	6
	2081	28	MAR	16:00	9	6	5	8	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	9	6	1	1	7	4	1	1	3	1	6	1	1	1	1	1	7	4	1	1	1	1	1	1	2	6	8	9	3	9	1	1	4	6
	2082	28	MAR	17:00	5	6	5	3	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	5	6	1	1	4	5	1	1	3	1	6	1	1	1	1	1	4	5	1	1	1	1	1	1	2	6	8	5	3	9	1	1	1	6
	2083	28	MAR	18:00	9	6	3	4	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	9	6	1	1	7	3	1	1	3	1	6	1	1	1	1	1	7	3	1	1	1	1	1	1	2	6	4	9	3	9	1	1	1	6
	2084	28	MAR	19:00	7	6	5	6	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	7	6	1	1	4	7	1	1	3	1	6	1	1	1	1	1	4	7	1	1	1	1	1	1	2	6	2	7	3	9	1	1	1	6
	2085	28	MAR	20:00	9	6	8	6	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	9	6	1	1	4	7	1	1	3	1	6	1	1	1	1	1	4	7	1	1	1	1	1	1	2	6	4	7	3	9	1	1	1	6
	2086	28	MAR	21:00	7	6	3	8	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	7	6	1	1	2	3	1	1	3	1	6	1	1	1	1	1	2	3	1	1	1	1	1	1	2	6	2	7	3	9	1	1	1	6
	2087	28	MAR	22:00	4	6	8	1	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	4	6	1	1	2	4	1	1	3	1	6	1	1	1	1	1	2	4	1	1	1	1	1	1	2	6	2	4	8	9	1	1	4	6
	2088	28	MAR	23:00	9	6	5	6	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	9	6	1	1	4	7	1	1	3	1	6	1	1	1	1	1	4	7	1	1	1	1	1	1	2	6	8	7	8	7	1	1	4	6
	2089	29	MAR	00:00	4	6	3	6	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	4	6	1	1	5	3	1	1	3	1	6	1	1	1	1	1	5	3	1	1	1	1	1	1	1	6	6	9	8	4	1	1	1	6
	2090	29	MAR	01:00	9	6	3	9	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	9	6	1	1	2	1	1	1	3	1	6	1	1	1	1	1	2	1	1	1	1	1	1	1	1	6	6	9	8	4	1	1	1	6
	2091	29	MAR	02:00	4	6	3	9	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	4	6	1	1	1	4	1	1	3	1	6	1	1	1	1	1	1	4	1	1	1	1	1	1	1	6	6	4	8	4	1	1	1	6
	2092	29	MAR	03:00	9	6	3	9	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	9	6	1	1	4	1	1	1	3	1	6	1	1	1	1	1	4	1	1	1	1	1	1	1	1	6	8	9	8	4	1	1	1	6
	2093	29	MAR	04:00	4	8	3	9	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	4	8	1	1	2	1	1	1	3	1	6	1	1	1	1	1	2	1	1	1	1	1	1	1	1	6	8	4	8	4	1	1	1	6
	2094	29	MAR	05:00	9	8	3	9	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	2	8	1	1	1	6	1	1	3	1	6	1	1	1	1	1	1	6	1	1	1	1	1	1	1	6	8	9	8	4	1	1	1	6
	2095	29	MAR	06:00	9	6	3	9	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	9	6	1	1	1	7	1	1	3	1	6	1	1	1	1	1	1	7	1	1	1	1	1	1	1	6	8	9	8	9	1	1	1	6
	2096	29	MAR	07:00	4	6	3	9	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	4	6	1	1	1	4	1	1	3	1	6	1	1	1	1	1	1	4	1	1	1	1	1	1	1	6	8	4	8	9	1	1	1	6
	2097	29	MAR	08:00	7	8	3	9	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	7	8	1	1	1	7	1	1	3	1	6	1	1	1	1	1	1	7	1	1	1	1	1	1	1	6	8	7	8	4	1	1	1	6
	2098	29	MAR	09:00	9	6	3	9	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	4	6	1	1	2	1	1	1	3	1	6	1	1	1	1	1	2	1	1	1	1	1	1	1	1	6	6	9	8	4	1	1	1	6
	2099	29	MAR	10:00	5	6	3	9	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	5	6	1	1	1	5	1	1	3	1	6	1	1	1	1	1	1	5	1	1	1	1	1	1	1	6	8	5	8	4	1	1	1	6
	2100	29	MAR	11:00	9	6	3	9	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	4	6	1	1	3	1	1	1	3	1	6	1	1	1	1	1	3	1	1	1	1	1	1	1	1	6	6	9	8	4	1	1	1	6
	2101	29	MAR	12:00	5	6	3	9	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	5	8	1	1	1	3	1	1	3	1	6	1	1	1	1	1	1	3	1	1	1	1	1	1	1	6	8	5	8	4	1	1	1	6
	2102	29	MAR	13:00	4	8	3	9	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	4	8	1	1	2	1	1	1	3	1	6	1	1	1	1	1	2	1	1	1	1	1	1	1	1	6	8	4	8	4	1	1	1	6
	2103	29	MAR	14:00	9	3	8	9	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	9	3	1	1	2	1	1	1	3	1	6	1	1	1	1	1	2	1	1	1	1	1	1	1	1	6	3	9	8	4	1	1	1	6
	2104	29	MAR	15:00	7	8	5	8	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	7	8	1	1	2	7	1	1	3	1	6	1	1	1	1	1	2	7	1	1	1	1	1	1	1	6	8	7	8	7	1	1	1	6
	2105	29	MAR	16:00	4	7	1	8	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	4	7	1	1	5	1	1	1	3	1	6	1	1	1	1	1	5	1	1	1	1	1	1	1	1	6	8	4	8	9	1	1	1	6
	2106	29	MAR	17:00	2	5	3	1	1	1	2	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	2	8	1	1	4	7	1	1	3	1	6	1	1	1	1	1	4	7	1	1	1	1	1	1	1	6	8	7	8	9	1	1	1	6
	2107	29	MAR	18:00	7	6	5	6	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	7	6	1	1	2	7	1	1	3	1	6	1	1	1	1	1	2	7	1	1	1	1	1	1	1	6	8	7	8	9	1	1	1	6
	2108	29	MAR	19:00	4	7	3	8	1	1	4	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	4	7	1	1	2	1	1	1	3	1	6	1	1	1	1	1	2	1	1	1	1	1	1	1	1	6	8	4	8	4	1	1	1	6
	2109	29	MAR	20:00	1	6	8	6	1	1	4	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	5	6	1	1	2	1	1	1	3	1	6	1	1	1	1	1	2	1	1	1	1	1	1	1	1	6	2	7	8	4	1	1	1	6
	2110	29	MAR	21:00	5	7	3	8	1	1	4	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	5	8	1	1	4	5	1	1	3	1	6	1	1	1	1	1	4	5	1	1	1	1	1	1	1	6	8	5	8	4	1	1	4	6
	2111	29	MAR	22:00	9	6	5	3	1	1	4	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	7	6	1	1	2	7	1	1	3	1	6	1	1	1	1	1	2	7	1	1	1	1	1	1	1	6	8	7	8	4	1	1	4	6
	2112	29	MAR	23:00	9	8	1	3	1	1	4	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	1	8	1	1	4	1	1	1	3	1	6	1	1	1	1	1	4	1	1	1	1	1	1	1	1	6	8	7	8	4	1	1	4	6
	2113	30	MAR	00:00	3	7	3	9	1	1	4	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	3	1	1	1	1	3	1	1	3	1	6	1	1	1	1	1	1	3	1	1	1	1	1	1	1	7	1	3	8	4	1	1	4	6
	2114	30	MAR	01:00	9	6	3	9	1	1	4	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	9	6	1	1	1	3	1	1	3	1	6	1	1	1	1	1	1	3	1	1	1	1	1	1	1	7	1	9	8	4	1	1	4	6
	2115	30	MAR	02:00	7	6	3	9	1	1	4	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	7	3	1	1	3	7	1	1	3	1	6	1	1	1	1	1	3	7	1	1	1	1	1	1	1	7	6	7	8	4	1	1	4	6
	2116	30	MAR	03:00	9	8	3	9	1	1	4	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	5	8	1	1	1	9	1	1	3	1	6	1	1	1	1	1	1	9	1	1	1	1	1	1	1	7	1	9	8	4	1	1	4	6
	2117	30	MAR	04:00	4	6	3	9	1	1	4	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	4	3	1	1	1	8	1	1	3	1	6	1	1	1	1	1	1	8	1	1	1	1	1	1	1	7	1	4	8	4	1	1	4	6
	2118	30	MAR	05:00	4	6	3	9	1	1	4	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	4	8	1	1	5	4	1	1	3	1	6	1	1	1	1	1	5	4	1	1	1	1	1	1	1	7	8	4	8	7	1	1	4	6
	2119	30	MAR	06:00	7	1	3	9	1	1	4	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	7	1	1	1	1	3	1	1	3	1	6	1	1	1	1	1	1	3	1	1	1	1	1	1	1	7	1	7	8	7	1	1	4	6
	2120	30	MAR	07:00	4	3	3	9	1	1	4	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	4	3	1	1	1	4	1	1	3	1	6	1	1	1	1	1	1	4	1	1	1	1	1	1	1	7	1	7	8	7	1	1	4	6
	2121	30	MAR	08:00	4	6	3	9	1	1	4	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	4	8	1	1	1	1	1	1	3	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	7	8	7	1	1	4	6
	2122	30	MAR	09:00	4	6	3	9	1	1	4	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	4	6	1	1	3	4	1	1	3	1	6	1	1	1	1	1	3	4	1	1	1	1	1	1	1	7	8	7	8	7	1	1	4	6
	2123	30	MAR	10:00	4	8	3	9	1	1	4	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	4	8	1	1	1	4	1	1	3	1	6	1	1	1	1	1	1	4	1	1	1	1	1	1	1	7	8	4	8	7	1	1	4	6
	2124	30	MAR	11:00	9	6	3	9	1	1	4	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	5	8	1	1	1	9	1	1	3	1	6	1	1	1	1	1	1	9	1	1	1	1	1	1	1	7	8	9	8	4	1	1	4	6
	2125	30	MAR	12:00	2	8	3	9	1	1	4	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	2	8	1	1	1	3	1	1	3	1	6	1	1	1	1	1	1	3	1	1	1	1	1	1	1	7	1	4	8	4	1	1	4	6
	2126	30	MAR	13:00	9	6	3	9	1	1	4	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	2	8	1	1	1	3	1	1	3	1	6	1	1	1	1	1	1	3	1	1	1	1	1	1	1	7	1	9	8	4	1	1	4	6
	2127	30	MAR	14:00	4	6	3	9	1	1	4	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	4	8	1	1	1	4	1	1	3	1	6	1	1	1	1	1	1	4	1	1	1	1	1	1	1	7	8	4	8	4	1	1	4	6
	2128	30	MAR	15:00	9	6	3	9	1	1	4	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	7	8	1	1	1	7	1	1	3	1	6	1	1	1	1	1	1	7	1	1	1	1	1	1	1	7	8	7	8	4	1	1	4	6
	2129	30	MAR	16:00	9	3	3	9	1	1	4	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	2	3	1	1	3	9	1	1	3	1	6	1	1	1	1	1	3	9	1	1	1	1	1	1	1	7	1	9	8	4	1	1	4	6
	2130	30	MAR	17:00	4	6	3	8	1	1	4	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	4	6	1	1	2	3	1	1	3	1	6	1	1	1	1	1	2	3	1	1	1	1	1	1	1	7	8	3	8	4	1	1	4	6
	2131	30	MAR	18:00	9	3	1	8	1	1	4	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	9	3	1	1	2	1	1	1	3	1	6	1	1	1	1	1	2	1	1	1	1	1	1	1	1	7	8	9	8	4	1	1	4	6
	2132	30	MAR	19:00	9	6	3	9	1	1	4	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	2	6	1	1	4	3	1	1	3	1	6	1	1	1	1	1	4	3	1	1	1	1	1	1	1	7	6	9	8	4	1	1	4	6
	2133	30	MAR	20:00	4	6	8	9	1	1	4	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	4	6	1	1	2	8	1	1	3	1	6	1	1	1	1	1	2	8	1	1	1	1	1	1	1	7	8	4	8	4	1	1	4	6
	2134	30	MAR	21:00	9	6	3	9	1	1	4	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	2	6	1	1	3	1	1	1	3	1	6	1	1	1	1	1	3	1	1	1	1	1	1	1	1	7	6	9	8	4	1	1	4	6
	2135	30	MAR	22:00	4	8	3	9	1	1	4	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	4	8	1	1	1	4	1	1	3	1	6	1	1	1	1	1	1	4	1	1	1	1	1	1	1	7	8	7	8	4	1	1	4	6
	2136	30	MAR	23:00	4	6	3	9	1	1	4	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	4	8	1	1	2	4	1	1	3	1	6	1	1	1	1	1	2	4	1	1	1	1	1	1	1	7	8	4	8	4	1	1	4	6
	2137	31	MAR	00:00	7	3	3	9	1	1	2	6	6	1	1	1	1	1	1	1	9	2	1	1	1	1	1	1	7	3	1	1	1	7	1	1	3	1	6	1	1	1	1	1	1	7	1	1	1	1	1	1	1	7	1	7	8	4	1	1	4	6
	2138	31	MAR	01:00	2	6	3	9	1	1	2	6	6	1	1	1	1	1	1	1	9	2	1	1	1	1	1	1	2	6	1	1	1	2	1	1	3	1	6	1	1	1	1	1	1	2	1	1	1	1	1	1	1	7	8	4	8	4	1	1	4	6
	2139	31	MAR	02:00	4	3	3	9	1	1	2	6	6	1	1	1	1	1	1	1	9	2	1	1	1	1	1	1	4	3	1	1	1	4	1	1	3	1	6	1	1	1	1	1	1	4	1	1	1	1	1	1	1	7	1	4	8	4	1	1	4	6
	2140	31	MAR	03:00	4	8	3	9	1	1	2	6	6	1	1	1	1	1	1	1	9	2	1	1	1	1	1	1	4	8	1	1	3	4	1	1	3	1	6	1	1	1	1	1	3	4	1	1	1	1	1	1	1	7	8	4	8	4	1	1	4	6
	2141	31	MAR	04:00	1	6	3	9	1	1	2	6	6	1	1	1	1	1	1	1	9	2	1	1	1	1	1	1	2	6	1	1	2	3	1	1	3	1	6	1	1	1	1	1	2	3	1	1	1	1	1	1	1	7	8	9	8	4	1	1	4	6
	2142	31	MAR	05:00	7	6	3	9	1	1	2	6	6	1	1	1	1	1	1	1	9	2	1	1	1	1	1	1	7	6	1	1	1	7	1	1	3	1	6	1	1	1	1	1	1	7	1	1	1	1	1	1	1	7	6	7	8	4	1	1	4	6
	2143	31	MAR	06:00	2	6	3	9	1	1	2	6	6	1	1	1	1	1	1	1	9	2	1	1	1	1	1	1	2	6	1	1	1	3	1	1	3	1	6	1	1	1	1	1	1	3	1	1	1	1	1	1	1	7	8	4	8	4	1	1	4	6
