C	area	id	hourly
	VARIABLES	BEGIN	END
	58	1	8736

C	hourly				OP. COST	OP. COST	MRG. PRICE	MRG. PRICE	BALANCE	BALANCE	LOAD	LOAD	H. ROR	H. ROR	WIND	WIND	SOLAR	SOLAR	NUCLEAR	NUCLEAR	LIGNITE	LIGNITE	COAL	COAL	GAS	GAS	OIL	OIL	MIX. FUEL	MIX. FUEL	MISC. DTG	MISC. DTG	H. STOR	H. STOR	H. PUMP	H. PUMP	H. LEV	H. LEV	H. INFL	H. INFL	H. OVFL	H. OVFL	H. VAL	H. VAL	H. COST	H. COST	UNSP. ENRG	UNSP. ENRG	SPIL. ENRG	SPIL. ENRG	LOLD	LOLD	AVL DTG	AVL DTG	DTG MRG	DTG MRG	MAX MRG	MAX MRG	NP COST	NP COST	NODU	NODU
					Euro	Euro	Euro	Euro	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	%	%	MWh	MWh	%	%	Euro/MWh	Euro/MWh	Euro	Euro	MWh	MWh	MWh	MWh	Hours	Hours	MWh	MWh	MWh	MWh	MWh	MWh	Euro	Euro	 	 
	index	day	month	hour	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max
	19	01	JAN	18:00	1	2	1	7	1	1	1	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	7	1	3	1	1	1	4	1	1	1	4	1	4	1	1	1	2	1	7	1	1	1	1	1	1	9	2	1	4	1	4	1	1	1	2
	20	01	JAN	19:00	1	7	1	7	1	1	1	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	7	1	3	1	1	1	7	1	1	1	4	1	4	1	1	1	2	1	7	1	1	1	1	1	1	9	2	1	6	1	4	1	1	1	2
	21	01	JAN	20:00	1	7	1	7	1	1	1	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	7	1	3	1	1	1	4	1	1	1	4	1	4	1	1	1	2	1	7	1	1	1	1	1	1	9	2	1	4	1	4	1	1	1	2
	22	01	JAN	21:00	1	3	1	7	1	1	1	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	7	1	3	1	1	1	4	1	1	1	4	1	4	1	1	1	2	1	7	1	1	1	1	1	1	9	2	1	4	1	4	1	1	1	2
	23	01	JAN	22:00	1	3	1	7	1	1	1	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	7	1	3	1	1	1	9	1	1	1	4	1	4	1	1	1	2	1	7	1	1	1	1	1	1	9	2	1	4	1	4	1	1	1	2
	24	01	JAN	23:00	1	3	1	7	1	1	1	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	3	1	1	1	7	1	1	1	4	1	4	1	1	1	2	1	7	1	1	1	1	1	1	9	2	1	4	1	4	1	1	1	2
	25	02	JAN	00:00	1	7	1	7	1	1	1	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	7	1	3	1	1	1	6	1	1	1	4	1	4	1	1	1	2	1	6	1	1	1	1	1	1	9	2	1	8	1	4	1	1	1	7
	26	02	JAN	01:00	1	7	1	7	1	1	1	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	7	1	6	1	1	1	3	1	1	1	4	1	4	1	1	1	2	1	3	1	1	1	1	1	1	9	2	1	3	1	4	1	1	1	7
	27	02	JAN	02:00	1	7	1	7	1	1	1	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	7	1	6	1	1	1	3	1	1	1	4	1	4	1	1	1	2	1	3	1	1	1	1	1	1	9	2	1	8	1	4	1	1	1	7
	28	02	JAN	03:00	1	7	1	7	1	1	1	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	7	1	7	1	1	1	3	1	1	1	4	1	4	1	1	1	2	1	3	1	1	1	1	1	1	9	2	1	4	1	4	1	1	1	7
	29	02	JAN	04:00	1	7	1	7	1	1	1	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	7	1	3	1	1	1	1	1	1	1	4	1	4	1	1	1	2	1	1	1	1	1	1	1	1	9	2	1	4	1	4	1	1	1	7
	30	02	JAN	05:00	1	3	1	7	1	1	1	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	3	1	1	1	8	1	1	1	4	1	4	1	1	1	2	1	8	1	1	1	1	1	1	9	2	1	8	1	4	1	1	1	2
	31	02	JAN	06:00	1	7	1	7	1	1	1	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	3	1	1	1	4	1	1	1	4	1	4	1	1	1	2	1	8	1	1	1	1	1	1	9	2	1	4	1	4	1	1	1	2
	32	02	JAN	07:00	1	7	1	7	1	1	1	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	7	1	3	1	1	1	1	1	1	1	4	1	4	1	1	1	2	1	1	1	1	1	1	1	1	9	2	1	4	1	4	1	1	1	2
	33	02	JAN	08:00	1	7	1	7	1	1	1	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	3	1	1	1	4	1	1	1	4	1	4	1	1	1	2	1	4	1	1	1	1	1	1	9	2	1	4	1	4	1	1	1	2
	34	02	JAN	09:00	1	3	1	7	1	1	9	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	3	1	1	1	9	1	1	1	4	1	4	1	1	1	2	1	9	1	1	1	1	1	1	9	2	1	9	1	4	1	1	1	2
	35	02	JAN	10:00	1	7	1	7	1	1	9	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	7	1	1	1	3	1	1	1	4	1	4	1	1	1	2	1	3	1	1	1	1	1	1	9	2	1	3	1	4	1	1	1	2
	36	02	JAN	11:00	1	7	1	7	1	1	9	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	7	1	1	1	3	1	1	1	4	1	4	1	1	1	2	1	3	1	1	1	1	1	1	9	2	1	3	1	4	1	1	1	2
	37	02	JAN	12:00	1	3	1	7	1	1	9	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	7	1	3	1	1	1	7	1	1	1	4	1	4	1	1	1	2	1	7	1	1	1	1	1	1	9	2	1	9	1	4	1	1	1	2
	38	02	JAN	13:00	1	3	1	7	1	1	9	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	7	1	3	1	1	1	4	1	1	1	4	1	4	1	1	1	2	1	7	1	1	1	1	1	1	9	2	1	4	1	4	1	1	1	2
	39	02	JAN	14:00	1	2	1	7	1	1	9	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	7	1	3	1	1	1	4	1	1	1	4	1	4	1	1	1	2	1	7	1	1	1	1	1	1	9	2	1	4	1	4	1	1	1	2
	40	02	JAN	15:00	1	2	1	7	1	1	9	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	7	1	3	1	1	1	7	1	1	1	4	1	4	1	1	1	2	1	7	1	1	1	1	1	1	9	2	1	4	1	4	1	1	1	2
	41	02	JAN	16:00	1	7	1	7	1	1	9	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	7	1	3	1	1	1	3	1	1	1	4	1	4	1	1	1	2	1	3	1	1	1	1	1	1	9	2	1	4	1	4	1	1	1	7
	42	02	JAN	17:00	1	7	1	7	1	1	9	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	7	1	3	1	1	1	7	1	1	1	4	1	4	1	1	1	2	1	7	1	1	1	1	1	1	9	2	1	4	1	4	1	1	1	7
	43	02	JAN	18:00	1	7	1	7	1	1	9	7	1	4	1	1	1	1	1	1	1	2	1	1	1	1	1	7	1	3	1	1	1	4	1	1	1	4	1	4	1	1	1	2	1	7	1	1	1	1	1	1	9	2	1	4	1	4	1	1	1	7
