C	area	de	hourly
	VARIABLES	BEGIN	END
	9	1	8736

C	hourly				BASE	INT	PEAK	BASE	INT	PEAK	BASE	INT	PEAK
					MWh	MWh	MWh	NP Cost - Euro	NP Cost - Euro	NP Cost - Euro	NODU	NODU	NODU
	index	day	month	hour	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP
	1745	14	MAR	16:00	39833	24291	0	0	0	0	40	27	0
	1746	14	MAR	17:00	39833	23882	0	0	0	0	40	27	0
	1747	14	MAR	18:00	39833	22760	0	0	0	0	40	27	0
	1748	14	MAR	19:00	39833	24198	0	0	0	0	40	27	0
	1749	14	MAR	20:00	39833	23113	0	0	0	0	40	27	0
	1750	14	MAR	21:00	39833	23358	0	0	0	0	40	27	0
	1751	14	MAR	22:00	39833	23503	0	0	0	0	40	27	0
	1752	14	MAR	23:00	39833	22493	0	0	0	0	40	27	0
	1753	15	MAR	00:00	40000	22073	0	0	0	0	40	27	0
	1754	15	MAR	01:00	40000	19570	0	0	0	0	40	27	0
	1755	15	MAR	02:00	40000	17575	0	0	0	0	40	27	0
	1756	15	MAR	03:00	40000	18662	0	0	0	0	40	27	0
	1757	15	MAR	04:00	40000	17083	0	0	0	0	40	27	0
	1758	15	MAR	05:00	40000	16094	0	0	0	0	40	27	0
	1759	15	MAR	06:00	40000	16034	0	0	0	0	40	27	0
	1760	15	MAR	07:00	40000	15292	0	0	0	0	40	27	0
	1761	15	MAR	08:00	40000	14722	0	0	0	0	40	27	0
	1762	15	MAR	09:00	40000	14252	0	0	0	0	40	27	0
	1763	15	MAR	10:00	40000	15954	0	0	0	0	40	27	0
	1764	15	MAR	11:00	40000	17450	0	0	0	0	40	27	0
	1765	15	MAR	12:00	40000	19332	0	0	0	0	40	27	0
	1766	15	MAR	13:00	40000	18512	0	0	0	0	40	27	0
	1767	15	MAR	14:00	40000	21754	0	0	0	0	40	27	0
	1768	15	MAR	15:00	40000	21776	0	0	0	0	40	27	0
	1769	15	MAR	16:00	40000	23849	0	0	0	0	40	27	0
	1770	15	MAR	17:00	40000	24498	0	0	0	0	40	27	0
	1771	15	MAR	18:00	40000	23902	0	0	0	0	40	27	0
	1772	15	MAR	19:00	40000	24361	0	0	0	0	40	27	0
	1773	15	MAR	20:00	40000	24931	0	0	0	0	40	27	0
	1774	15	MAR	21:00	40000	24294	0	0	0	0	40	26	0
	1775	15	MAR	22:00	40000	24245	0	0	0	0	40	26	0
	1776	15	MAR	23:00	40000	22020	0	0	0	0	40	26	0
	1777	16	MAR	00:00	40250	19019	0	0	0	0	40	26	0
	1778	16	MAR	01:00	40250	15883	0	0	0	0	40	26	0
	1779	16	MAR	02:00	40250	15849	0	0	0	0	40	26	0
	1780	16	MAR	03:00	40250	13070	0	0	0	0	40	26	0
	1781	16	MAR	04:00	40250	13440	0	0	0	0	40	26	0
	1782	16	MAR	05:00	40250	14600	0	0	0	0	40	26	0
	1783	16	MAR	06:00	40250	11565	0	0	0	0	40	26	0
	1784	16	MAR	07:00	40250	11644	0	0	0	0	40	26	0
	1785	16	MAR	08:00	40250	12627	0	0	0	0	40	26	0
	1786	16	MAR	09:00	40250	10768	0	0	0	0	40	26	0
	1787	16	MAR	10:00	40250	13524	0	0	0	0	40	26	0
	1788	16	MAR	11:00	40250	12886	0	0	0	0	40	26	0
	1789	16	MAR	12:00	40250	15155	0	0	0	0	40	26	0
	1790	16	MAR	13:00	40250	17588	0	0	0	0	40	26	0
	1791	16	MAR	14:00	40250	18157	0	0	0	0	40	26	0
	1792	16	MAR	15:00	40250	19962	0	0	0	0	40	26	0
	1793	16	MAR	16:00	40250	19642	0	0	0	0	40	26	0
	1794	16	MAR	17:00	40250	21452	0	0	0	0	40	26	0
	1795	16	MAR	18:00	40250	22344	0	0	0	0	40	26	0
	1796	16	MAR	19:00	40250	21023	0	0	0	0	40	26	0
	1797	16	MAR	20:00	40250	21664	0	0	0	0	40	26	0
	1798	16	MAR	21:00	40250	21144	0	0	0	0	40	26	0
	1799	16	MAR	22:00	40250	20941	0	0	0	0	40	26	0
	1800	16	MAR	23:00	40250	18167	0	0	0	0	40	25	0
	1801	17	MAR	00:00	39750	14947	0	0	0	0	40	25	0
	1802	17	MAR	01:00	39750	13275	0	0	0	0	40	25	0
	1803	17	MAR	02:00	39750	12296	0	0	0	0	40	25	0
	1804	17	MAR	03:00	39750	10990	0	0	0	0	40	25	0
	1805	17	MAR	04:00	39750	9718	0	0	0	0	40	25	0
	1806	17	MAR	05:00	39750	8008	0	0	0	0	40	25	0
	1807	17	MAR	06:00	39750	8889	0	0	0	0	40	25	0
	1808	17	MAR	07:00	39750	8692	0	0	0	0	40	25	0
	1809	17	MAR	08:00	39750	8618	0	0	0	0	40	25	0
	1810	17	MAR	09:00	39750	10025	0	0	0	0	40	25	0
	1811	17	MAR	10:00	39750	10117	0	0	0	0	40	25	0
	1812	17	MAR	11:00	39750	11204	0	0	0	0	40	25	0
	1813	17	MAR	12:00	39750	12627	0	0	0	0	40	25	0
	1814	17	MAR	13:00	39750	13085	0	0	0	0	40	25	0
	1815	17	MAR	14:00	39750	15060	0	0	0	0	40	25	0
	1816	17	MAR	15:00	39750	14944	0	0	0	0	40	25	0
	1817	17	MAR	16:00	39750	17037	0	0	0	0	40	25	0
	1818	17	MAR	17:00	39750	17629	0	0	0	0	40	25	0
	1819	17	MAR	18:00	39750	19300	0	0	0	0	40	25	0
	1820	17	MAR	19:00	39750	20117	0	0	0	0	40	25	0
	1821	17	MAR	20:00	39750	17796	0	0	0	0	40	25	0
	1822	17	MAR	21:00	39750	17576	0	0	0	0	40	25	0
	1823	17	MAR	22:00	39750	17451	0	0	0	0	40	25	0
	1824	17	MAR	23:00	39750	16670	0	0	0	0	40	24	0
	1825	18	MAR	00:00	40333	12385	0	0	0	0	40	24	0
	1826	18	MAR	01:00	40333	11727	0	0	0	0	40	23	0
	1827	18	MAR	02:00	40333	10801	0	0	0	0	40	23	0
	1828	18	MAR	03:00	40333	9469	0	0	0	0	40	23	0
	1829	18	MAR	04:00	40333	9159	0	0	0	0	40	23	0
	1830	18	MAR	05:00	40323	6658	0	0	0	0	40	22	0
	1831	18	MAR	06:00	40290	6839	0	0	0	0	40	22	0
	1832	18	MAR	07:00	40283	7291	0	0	0	0	40	23	0
	1833	18	MAR	08:00	40333	6947	0	0	0	0	40	23	0
	1834	18	MAR	09:00	40333	7029	0	0	0	0	40	23	0
	1835	18	MAR	10:00	40333	8880	0	0	0	0	40	23	0
	1836	18	MAR	11:00	40333	8802	0	0	0	0	40	23	0
	1837	18	MAR	12:00	40333	10078	0	0	0	0	40	23	0
	1838	18	MAR	13:00	40333	10779	0	0	0	0	40	23	0
	1839	18	MAR	14:00	40333	11738	0	0	0	0	40	24	0
	1840	18	MAR	15:00	40333	13666	0	0	0	0	40	24	0
	1841	18	MAR	16:00	40333	15040	0	0	0	0	40	24	0
	1842	18	MAR	17:00	40333	15539	0	0	0	0	40	24	0
	1843	18	MAR	18:00	40333	17037	0	0	0	0	40	24	0
	1844	18	MAR	19:00	40333	15391	0	0	0	0	40	24	0
	1845	18	MAR	20:00	40333	14527	0	0	0	0	40	25	0
	1846	18	MAR	21:00	40333	16024	0	0	0	0	40	25	0
	1847	18	MAR	22:00	40333	15025	0	0	0	0	40	24	0
	1848	18	MAR	23:00	40333	13638	0	0	0	0	40	24	0
	1849	19	MAR	00:00	40583	13586	0	0	0	0	41	24	0
	1850	19	MAR	01:00	40583	11050	0	0	0	0	41	24	0
	1851	19	MAR	02:00	40583	12319	0	0	0	0	41	24	0
	1852	19	MAR	03:00	40583	9827	0	0	0	0	41	24	0
	1853	19	MAR	04:00	40583	9296	0	0	0	0	41	24	0
	1854	19	MAR	05:00	40583	7633	0	0	0	0	41	24	0
	1855	19	MAR	06:00	40583	8916	0	0	0	0	41	24	0
	1856	19	MAR	07:00	40583	7343	0	0	0	0	41	24	0
	1857	19	MAR	08:00	40583	8690	0	0	0	0	41	24	0
	1858	19	MAR	09:00	40583	8871	0	0	0	0	41	24	0
	1859	19	MAR	10:00	40583	9425	0	0	0	0	41	24	0
	1860	19	MAR	11:00	40583	9792	0	0	0	0	41	24	0
	1861	19	MAR	12:00	40583	12300	0	0	0	0	41	24	0
	1862	19	MAR	13:00	40583	12733	0	0	0	0	41	24	0
	1863	19	MAR	14:00	40583	14413	0	0	0	0	41	25	0
	1864	19	MAR	15:00	40583	15663	0	0	0	0	41	25	0
	1865	19	MAR	16:00	40583	17698	0	0	0	0	41	25	0
	1866	19	MAR	17:00	40583	17266	0	0	0	0	41	25	0
	1867	19	MAR	18:00	40583	18037	0	0	0	0	41	25	0
	1868	19	MAR	19:00	40583	18436	0	0	0	0	41	25	0
	1869	19	MAR	20:00	40583	18840	0	0	0	0	41	25	0
	1870	19	MAR	21:00	40583	17466	0	0	0	0	41	25	0
	1871	19	MAR	22:00	40583	15547	0	0	0	0	41	25	0
	1872	19	MAR	23:00	40583	15762	0	0	0	0	41	25	0
	1873	20	MAR	00:00	40417	19816	0	0	0	0	40	25	0
	1874	20	MAR	01:00	40417	17354	0	0	0	0	40	25	0
	1875	20	MAR	02:00	40417	15385	0	0	0	0	40	25	0
	1876	20	MAR	03:00	40417	14633	0	0	0	0	40	25	0
	1877	20	MAR	04:00	40417	14165	0	0	0	0	40	25	0
	1878	20	MAR	05:00	40417	9785	0	0	0	0	40	25	0
	1879	20	MAR	06:00	40417	10219	0	0	0	0	40	25	0
	1880	20	MAR	07:00	40417	13141	0	0	0	0	40	25	0
	1881	20	MAR	08:00	40417	13975	0	0	0	0	40	25	0
	1882	20	MAR	09:00	40417	13149	0	0	0	0	40	25	0
	1883	20	MAR	10:00	40417	13142	0	0	0	0	40	25	0
	1884	20	MAR	11:00	40417	14985	0	0	0	0	40	25	0
	1885	20	MAR	12:00	40417	16334	0	0	0	0	40	25	0
	1886	20	MAR	13:00	40417	16362	0	0	0	0	40	25	0
	1887	20	MAR	14:00	40417	17751	0	0	0	0	40	25	0
	1888	20	MAR	15:00	40417	17614	0	0	0	0	40	25	0
	1889	20	MAR	16:00	40417	19437	0	0	0	0	40	26	0
	1890	20	MAR	17:00	40417	21456	0	0	0	0	40	26	0
	1891	20	MAR	18:00	40417	21522	0	0	0	0	40	26	0
	1892	20	MAR	19:00	40417	20460	0	0	0	0	40	26	0
	1893	20	MAR	20:00	40417	20990	0	0	0	0	40	26	0
	1894	20	MAR	21:00	40417	20652	0	0	0	0	40	26	0
	1895	20	MAR	22:00	40417	18613	0	0	0	0	40	26	0
	1896	20	MAR	23:00	40417	18918	0	0	0	0	40	26	0
	1897	21	MAR	00:00	40333	22310	0	0	0	0	40	26	0
	1898	21	MAR	01:00	40333	19387	0	0	0	0	40	26	0
	1899	21	MAR	02:00	40333	17353	0	0	0	0	40	26	0
	1900	21	MAR	03:00	40333	16726	0	0	0	0	40	26	0
	1901	21	MAR	04:00	40333	15284	0	0	0	0	40	26	0
	1902	21	MAR	05:00	40333	13603	0	0	0	0	40	26	0
	1903	21	MAR	06:00	40333	15277	0	0	0	0	40	26	0
	1904	21	MAR	07:00	40333	13156	0	0	0	0	40	26	0
	1905	21	MAR	08:00	40333	14622	0	0	0	0	40	26	0
	1906	21	MAR	09:00	40333	14382	0	0	0	0	40	26	0
	1907	21	MAR	10:00	40333	13901	0	0	0	0	40	26	0
	1908	21	MAR	11:00	40333	16493	0	0	0	0	40	26	0
	1909	21	MAR	12:00	40333	16463	0	0	0	0	40	26	0
	1910	21	MAR	13:00	40333	18885	0	0	0	0	40	26	0
	1911	21	MAR	14:00	40333	20270	0	0	0	0	40	26	0
	1912	21	MAR	15:00	40333	21593	0	0	0	0	40	26	0
	1913	21	MAR	16:00	40333	21156	0	0	0	0	40	26	0
	1914	21	MAR	17:00	40333	22135	0	0	0	0	40	26	0
	1915	21	MAR	18:00	40333	23001	0	0	0	0	40	26	0
	1916	21	MAR	19:00	40333	22647	0	0	0	0	40	26	0
	1917	21	MAR	20:00	40333	21376	0	0	0	0	40	26	0
	1918	21	MAR	21:00	40333	21728	0	0	0	0	40	26	0
	1919	21	MAR	22:00	40333	23537	0	0	0	0	40	26	0
	1920	21	MAR	23:00	40333	20600	0	0	0	0	40	26	0
	1921	22	MAR	00:00	40583	20429	0	0	0	0	41	25	0
	1922	22	MAR	01:00	40583	18566	0	0	0	0	41	25	0
	1923	22	MAR	02:00	40583	15498	0	0	0	0	41	25	0
	1924	22	MAR	03:00	40583	17081	0	0	0	0	41	25	0
	1925	22	MAR	04:00	40583	14113	0	0	0	0	41	25	0
	1926	22	MAR	05:00	40583	13262	0	0	0	0	41	25	0
	1927	22	MAR	06:00	40583	12690	0	0	0	0	41	25	0
	1928	22	MAR	07:00	40583	13919	0	0	0	0	41	24	0
	1929	22	MAR	08:00	40583	13622	0	0	0	0	41	25	0
	1930	22	MAR	09:00	40583	12731	0	0	0	0	41	25	0
	1931	22	MAR	10:00	40583	11372	0	0	0	0	41	25	0
	1932	22	MAR	11:00	40583	15410	0	0	0	0	41	25	0
	1933	22	MAR	12:00	40583	17107	0	0	0	0	41	25	0
	1934	22	MAR	13:00	40583	17393	0	0	0	0	41	25	0
	1935	22	MAR	14:00	40583	18885	0	0	0	0	41	25	0
	1936	22	MAR	15:00	40583	19291	0	0	0	0	41	25	0
	1937	22	MAR	16:00	40583	20633	0	0	0	0	41	25	0
	1938	22	MAR	17:00	40583	20273	0	0	0	0	41	25	0
	1939	22	MAR	18:00	40583	22725	0	0	0	0	41	26	0
	1940	22	MAR	19:00	40583	22825	0	0	0	0	41	26	0
	1941	22	MAR	20:00	40583	22116	0	0	0	0	41	26	0
	1942	22	MAR	21:00	40583	21253	0	0	0	0	41	26	0
	1943	22	MAR	22:00	40583	21243	0	0	0	0	41	25	0
	1944	22	MAR	23:00	40583	20937	0	0	0	0	41	25	0
	1945	23	MAR	00:00	40500	16462	0	0	0	0	41	25	0
	1946	23	MAR	01:00	40500	13253	0	0	0	0	41	24	0
	1947	23	MAR	02:00	40500	11253	0	0	0	0	41	24	0
	1948	23	MAR	03:00	40500	12409	0	0	0	0	41	24	0
	1949	23	MAR	04:00	40500	11297	0	0	0	0	41	24	0
	1950	23	MAR	05:00	40500	9436	0	0	0	0	41	24	0
	1951	23	MAR	06:00	40500	10009	0	0	0	0	41	24	0
	1952	23	MAR	07:00	40500	9867	0	0	0	0	41	24	0
	1953	23	MAR	08:00	40500	9486	0	0	0	0	41	24	0
	1954	23	MAR	09:00	40500	10368	0	0	0	0	41	24	0
	1955	23	MAR	10:00	40500	11829	0	0	0	0	41	24	0
	1956	23	MAR	11:00	40500	12330	0	0	0	0	41	24	0
	1957	23	MAR	12:00	40500	14132	0	0	0	0	41	24	0
	1958	23	MAR	13:00	40500	14528	0	0	0	0	41	25	0
	1959	23	MAR	14:00	40500	16698	0	0	0	0	41	25	0
	1960	23	MAR	15:00	40500	16220	0	0	0	0	41	25	0
	1961	23	MAR	16:00	40500	18654	0	0	0	0	41	25	0
	1962	23	MAR	17:00	40500	19333	0	0	0	0	41	25	0
	1963	23	MAR	18:00	40500	20576	0	0	0	0	41	25	0
	1964	23	MAR	19:00	40500	20210	0	0	0	0	41	25	0
	1965	23	MAR	20:00	40500	18470	0	0	0	0	41	25	0
	1966	23	MAR	21:00	40500	19362	0	0	0	0	41	25	0
	1967	23	MAR	22:00	40500	19332	0	0	0	0	41	25	0
	1968	23	MAR	23:00	40500	18204	0	0	0	0	41	25	0
	1969	24	MAR	00:00	39833	12654	0	0	0	0	40	25	0
	1970	24	MAR	01:00	39833	11996	0	0	0	0	40	25	0
	1971	24	MAR	02:00	39833	10168	0	0	0	0	40	24	0
	1972	24	MAR	03:00	39833	8694	0	0	0	0	40	24	0
	1973	24	MAR	04:00	39833	7904	0	0	0	0	40	24	0
	1974	24	MAR	05:00	39833	8317	0	0	0	0	40	24	0
	1975	24	MAR	06:00	39833	7409	0	0	0	0	40	24	0
	1976	24	MAR	07:00	39833	7514	0	0	0	0	40	24	0
	1977	24	MAR	08:00	39833	7407	0	0	0	0	40	24	0
	1978	24	MAR	09:00	39833	8191	0	0	0	0	40	24	0
	1979	24	MAR	10:00	39833	9604	0	0	0	0	40	24	0
	1980	24	MAR	11:00	39833	10167	0	0	0	0	40	24	0
	1981	24	MAR	12:00	39833	12361	0	0	0	0	40	24	0
	1982	24	MAR	13:00	39833	12105	0	0	0	0	40	25	0
	1983	24	MAR	14:00	39833	13343	0	0	0	0	40	25	0
	1984	24	MAR	15:00	39833	14487	0	0	0	0	40	25	0
	1985	24	MAR	16:00	39833	15843	0	0	0	0	40	25	0
	1986	24	MAR	17:00	39833	17352	0	0	0	0	40	25	0
	1987	24	MAR	18:00	39833	16617	0	0	0	0	40	25	0
	1988	24	MAR	19:00	39833	17635	0	0	0	0	40	25	0
	1989	24	MAR	20:00	39833	15230	0	0	0	0	40	25	0
	1990	24	MAR	21:00	39833	17972	0	0	0	0	40	25	0
	1991	24	MAR	22:00	39833	15610	0	0	0	0	40	25	0
	1992	24	MAR	23:00	39833	14132	0	0	0	0	40	25	0
	1993	25	MAR	00:00	39417	12139	0	0	0	0	39	25	0
	1994	25	MAR	01:00	39417	12111	0	0	0	0	39	25	0
	1995	25	MAR	02:00	39417	8632	0	0	0	0	39	25	0
	1996	25	MAR	03:00	39417	8464	0	0	0	0	39	25	0
	1997	25	MAR	04:00	39417	7689	0	0	0	0	39	25	0
	1998	25	MAR	05:00	39417	7136	0	0	0	0	39	25	0
	1999	25	MAR	06:00	39417	6138	0	0	0	0	39	25	0
	2000	25	MAR	07:00	39417	5679	0	0	0	0	39	25	0
	2001	25	MAR	08:00	39417	5599	0	0	0	0	39	25	0
	2002	25	MAR	09:00	39417	6964	0	0	0	0	39	25	0
	2003	25	MAR	10:00	39417	7703	0	0	0	0	39	25	0
	2004	25	MAR	11:00	39417	7544	0	0	0	0	39	25	0
	2005	25	MAR	12:00	39417	9479	0	0	0	0	39	25	0
	2006	25	MAR	13:00	39417	10216	0	0	0	0	39	25	0
	2007	25	MAR	14:00	39417	10774	0	0	0	0	39	25	0
	2008	25	MAR	15:00	39417	11676	0	0	0	0	39	25	0
	2009	25	MAR	16:00	39417	14139	0	0	0	0	39	25	0
	2010	25	MAR	17:00	39417	15370	0	0	0	0	39	25	0
	2011	25	MAR	18:00	39417	15724	0	0	0	0	39	25	0
	2012	25	MAR	19:00	39417	15458	0	0	0	0	39	25	0
	2013	25	MAR	20:00	39417	15667	0	0	0	0	39	25	0
	2014	25	MAR	21:00	39417	14766	0	0	0	0	39	25	0
	2015	25	MAR	22:00	39417	14664	0	0	0	0	39	25	0
	2016	25	MAR	23:00	39417	13716	0	0	0	0	39	24	0
	2017	26	MAR	00:00	39500	12620	0	0	0	0	40	24	0
	2018	26	MAR	01:00	39500	12546	0	0	0	0	40	24	0
	2019	26	MAR	02:00	39500	10893	0	0	0	0	40	24	0
	2020	26	MAR	03:00	39500	10026	0	0	0	0	40	24	0
	2021	26	MAR	04:00	39500	9700	0	0	0	0	40	24	0
	2022	26	MAR	05:00	39500	8341	0	0	0	0	40	24	0
	2023	26	MAR	06:00	39500	7442	0	0	0	0	40	24	0
	2024	26	MAR	07:00	39500	7966	0	0	0	0	40	24	0
	2025	26	MAR	08:00	39500	7414	0	0	0	0	40	24	0
	2026	26	MAR	09:00	39500	8245	0	0	0	0	40	24	0
	2027	26	MAR	10:00	39500	9849	0	0	0	0	40	24	0
	2028	26	MAR	11:00	39500	8558	0	0	0	0	40	24	0
	2029	26	MAR	12:00	39500	11334	0	0	0	0	40	24	0
	2030	26	MAR	13:00	39500	12205	0	0	0	0	40	24	0
	2031	26	MAR	14:00	39500	13536	0	0	0	0	40	24	0
	2032	26	MAR	15:00	39500	15162	0	0	0	0	40	25	0
	2033	26	MAR	16:00	39500	16683	0	0	0	0	40	25	0
	2034	26	MAR	17:00	39500	17945	0	0	0	0	40	25	0
	2035	26	MAR	18:00	39500	17660	0	0	0	0	40	25	0
	2036	26	MAR	19:00	39500	18446	0	0	0	0	40	25	0
	2037	26	MAR	20:00	39500	17701	0	0	0	0	40	25	0
	2038	26	MAR	21:00	39500	17440	0	0	0	0	40	25	0
	2039	26	MAR	22:00	39500	14806	0	0	0	0	40	25	0
	2040	26	MAR	23:00	39500	13998	0	0	0	0	40	25	0
	2041	27	MAR	00:00	39750	15999	0	0	0	0	40	25	0
	2042	27	MAR	01:00	39750	15990	0	0	0	0	40	25	0
	2043	27	MAR	02:00	39750	13784	0	0	0	0	40	25	0
	2044	27	MAR	03:00	39750	14417	0	0	0	0	40	25	0
	2045	27	MAR	04:00	39750	11656	0	0	0	0	40	25	0
	2046	27	MAR	05:00	39750	12050	0	0	0	0	40	25	0
	2047	27	MAR	06:00	39750	11142	0	0	0	0	40	25	0
	2048	27	MAR	07:00	39750	11422	0	0	0	0	40	25	0
	2049	27	MAR	08:00	39750	11052	0	0	0	0	40	25	0
	2050	27	MAR	09:00	39750	11410	0	0	0	0	40	25	0
	2051	27	MAR	10:00	39750	11474	0	0	0	0	40	25	0
	2052	27	MAR	11:00	39750	15909	0	0	0	0	40	25	0
	2053	27	MAR	12:00	39750	15491	0	0	0	0	40	25	0
	2054	27	MAR	13:00	39750	15968	0	0	0	0	40	25	0
	2055	27	MAR	14:00	39750	19050	0	0	0	0	40	25	0
	2056	27	MAR	15:00	39750	18732	0	0	0	0	40	25	0
	2057	27	MAR	16:00	39750	20101	0	0	0	0	40	25	0
	2058	27	MAR	17:00	39750	18822	0	0	0	0	40	25	0
	2059	27	MAR	18:00	39750	20847	0	0	0	0	40	25	0
	2060	27	MAR	19:00	39750	20317	0	0	0	0	40	25	0
	2061	27	MAR	20:00	39750	20350	0	0	0	0	40	25	0
	2062	27	MAR	21:00	39750	20911	0	0	0	0	40	25	0
	2063	27	MAR	22:00	39750	20459	0	0	0	0	40	25	0
	2064	27	MAR	23:00	39750	20124	0	0	0	0	40	25	0
	2065	28	MAR	00:00	39250	20650	0	0	0	0	39	25	0
	2066	28	MAR	01:00	39250	18330	0	0	0	0	39	25	0
	2067	28	MAR	02:00	39250	18825	0	0	0	0	39	25	0
	2068	28	MAR	03:00	39250	18774	0	0	0	0	39	25	0
	2069	28	MAR	04:00	39250	17926	0	0	0	0	39	25	0
	2070	28	MAR	05:00	39250	16553	0	0	0	0	39	25	0
	2071	28	MAR	06:00	39250	12891	0	0	0	0	39	25	0
	2072	28	MAR	07:00	39250	14804	0	0	0	0	39	25	0
	2073	28	MAR	08:00	39250	15835	0	0	0	0	39	25	0
	2074	28	MAR	09:00	39250	16704	0	0	0	0	39	25	0
	2075	28	MAR	10:00	39250	15756	0	0	0	0	39	25	0
	2076	28	MAR	11:00	39250	19105	0	0	0	0	39	25	0
	2077	28	MAR	12:00	39250	20156	0	0	0	0	39	25	0
	2078	28	MAR	13:00	39250	20548	0	0	0	0	39	25	0
	2079	28	MAR	14:00	39250	20390	0	0	0	0	39	25	0
	2080	28	MAR	15:00	39250	22502	0	0	0	0	39	25	0
	2081	28	MAR	16:00	39250	21107	0	0	0	0	39	25	0
	2082	28	MAR	17:00	39250	24539	0	0	0	0	39	26	0
	2083	28	MAR	18:00	39250	23699	0	0	0	0	39	26	0
	2084	28	MAR	19:00	39250	23317	0	0	0	0	39	26	0
	2085	28	MAR	20:00	39250	24011	0	0	0	0	39	26	0
	2086	28	MAR	21:00	39250	23933	0	0	0	0	39	26	0
	2087	28	MAR	22:00	39250	22858	0	0	0	0	39	26	0
	2088	28	MAR	23:00	39250	22945	0	0	0	0	39	26	0
	2089	29	MAR	00:00	39000	21185	0	0	0	0	39	26	0
	2090	29	MAR	01:00	39000	21104	0	0	0	0	39	26	0
	2091	29	MAR	02:00	39000	18369	0	0	0	0	39	26	0
	2092	29	MAR	03:00	39000	18652	0	0	0	0	39	26	0
	2093	29	MAR	04:00	39000	17120	0	0	0	0	39	26	0
	2094	29	MAR	05:00	39000	15796	0	0	0	0	39	26	0
	2095	29	MAR	06:00	39000	16541	0	0	0	0	39	26	0
	2096	29	MAR	07:00	39000	15772	0	0	0	0	39	26	0
	2097	29	MAR	08:00	39000	15267	0	0	0	0	39	26	0
	2098	29	MAR	09:00	39000	14870	0	0	0	0	39	26	0
	2099	29	MAR	10:00	39000	16877	0	0	0	0	39	26	0
	2100	29	MAR	11:00	39000	17751	0	0	0	0	39	26	0
	2101	29	MAR	12:00	39000	18996	0	0	0	0	39	26	0
	2102	29	MAR	13:00	39000	18322	0	0	0	0	39	26	0
	2103	29	MAR	14:00	39000	21874	0	0	0	0	39	26	0
	2104	29	MAR	15:00	39000	22831	0	0	0	0	39	26	0
	2105	29	MAR	16:00	39000	21631	0	0	0	0	39	26	0
	2106	29	MAR	17:00	39000	22434	0	0	0	0	39	26	0
	2107	29	MAR	18:00	39000	24661	0	0	0	0	39	26	0
	2108	29	MAR	19:00	39000	24892	0	0	0	0	39	26	0
	2109	29	MAR	20:00	39000	24784	0	0	0	0	39	26	0
	2110	29	MAR	21:00	39000	23551	0	0	0	0	39	26	0
	2111	29	MAR	22:00	39000	24164	0	0	0	0	39	26	0
	2112	29	MAR	23:00	39000	21279	0	0	0	0	39	26	0
	2113	30	MAR	00:00	39167	17963	0	0	0	0	39	25	0
	2114	30	MAR	01:00	39167	17325	0	0	0	0	39	25	0
	2115	30	MAR	02:00	39167	15651	0	0	0	0	39	25	0
	2116	30	MAR	03:00	39167	15623	0	0	0	0	39	25	0
	2117	30	MAR	04:00	39167	14605	0	0	0	0	39	25	0
	2118	30	MAR	05:00	39167	13777	0	0	0	0	39	25	0
	2119	30	MAR	06:00	39167	12858	0	0	0	0	39	25	0
	2120	30	MAR	07:00	39167	9890	0	0	0	0	39	25	0
	2121	30	MAR	08:00	39167	12911	0	0	0	0	39	25	0
	2122	30	MAR	09:00	39167	12120	0	0	0	0	39	25	0
	2123	30	MAR	10:00	39167	11590	0	0	0	0	39	25	0
	2124	30	MAR	11:00	39167	15635	0	0	0	0	39	25	0
	2125	30	MAR	12:00	39167	14382	0	0	0	0	39	25	0
	2126	30	MAR	13:00	39167	17240	0	0	0	0	39	25	0
	2127	30	MAR	14:00	39167	17672	0	0	0	0	39	25	0
	2128	30	MAR	15:00	39167	20820	0	0	0	0	39	25	0
	2129	30	MAR	16:00	39167	19720	0	0	0	0	39	25	0
	2130	30	MAR	17:00	39167	21335	0	0	0	0	39	25	0
	2131	30	MAR	18:00	39167	21825	0	0	0	0	39	25	0
	2132	30	MAR	19:00	39167	21581	0	0	0	0	39	25	0
	2133	30	MAR	20:00	39167	21239	0	0	0	0	39	25	0
	2134	30	MAR	21:00	39167	19743	0	0	0	0	39	25	0
	2135	30	MAR	22:00	39167	19092	0	0	0	0	39	24	0
	2136	30	MAR	23:00	39167	18051	0	0	0	0	39	23	0
	2137	31	MAR	00:00	38833	14745	0	0	0	0	39	23	0
	2138	31	MAR	01:00	38833	13216	0	0	0	0	39	23	0
	2139	31	MAR	02:00	38833	11201	0	0	0	0	39	22	0
	2140	31	MAR	03:00	38833	10375	0	0	0	0	39	22	0
	2141	31	MAR	04:00	38833	10725	0	0	0	0	39	22	0
	2142	31	MAR	05:00	38833	8404	0	0	0	0	39	22	0
	2143	31	MAR	06:00	38833	9233	0	0	0	0	39	22	0
	2144	31	MAR	07:00	38833	8572	0	0	0	0	39	22	0
	2145	31	MAR	08:00	38833	8402	0	0	0	0	39	22	0
	2146	31	MAR	09:00	38833	8195	0	0	0	0	39	22	0
	2147	31	MAR	10:00	38833	9987	0	0	0	0	39	22	0
	2148	31	MAR	11:00	38833	10112	0	0	0	0	39	22	0
	2149	31	MAR	12:00	38833	11943	0	0	0	0	39	22	0
	2150	31	MAR	13:00	38833	11915	0	0	0	0	39	22	0
