C	weekly	OV. COST	OP. COST	OP. COST	OP. COST	OP. COST	MRG. PRICE	MRG. PRICE	MRG. PRICE	MRG. PRICE	CO2 EMIS.	BALANCE	BALANCE	BALANCE	BALANCE	ROW BAL.	PSP	MISC. NDG	LOAD	LOAD	LOAD	LOAD	H. ROR	H. ROR	H. ROR	H. ROR	WIND	WIND	WIND	WIND	SOLAR	SOLAR	SOLAR	SOLAR	NUCLEAR	NUCLEAR	NUCLEAR	NUCLEAR	LIGNITE	LIGNITE	LIGNITE	LIGNITE	COAL	COAL	COAL	COAL	GAS	GAS	GAS	GAS	OIL	OIL	OIL	OIL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MISC. DTG	MISC. DTG	MISC. DTG	MISC. DTG	H. STOR	H. STOR	H. STOR	H. STOR	H. PUMP	H. PUMP	H. PUMP	H. PUMP	H. LEV	H. LEV	H. LEV	H. LEV	H. INFL	H. INFL	H. INFL	H. INFL	H. OVFL	H. OVFL	H. OVFL	H. OVFL	H. VAL	H. VAL	H. VAL	H. VAL	H. COST	H. COST	H. COST	H. COST	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	LOLD	LOLD	LOLD	LOLD	LOLP	AVL DTG	AVL DTG	AVL DTG	AVL DTG	DTG MRG	DTG MRG	DTG MRG	DTG MRG	MAX MRG	MAX MRG	MAX MRG	MAX MRG	NP COST	NP COST	NP COST	NP COST	NODU	NODU	NODU	NODU
		Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Tons	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	%	%	%	%	MWh	MWh	MWh	MWh	%	%	%	%	Euro/MWh	Euro/MWh	Euro/MWh	Euro/MWh	Euro	Euro	Euro	Euro	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	Hours	Hours	Hours	Hours	%	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	Euro	Euro	Euro	Euro	 	 	 	 
	week	EXP	EXP	std	min	max	EXP	std	min	max	EXP	EXP	std	min	max	values	EXP	EXP	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	values	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max
	9	439511082	419675087	15785185	379815846	440128642	51.01	1.43	50.00	54.46	10209191	0	0	0	0	0	0	0	11586678	270142	10895888	11939644	735544	111166	526020	907764	0	0	0	0	0	0	0	0	0	0	0	0	6636000	206804	6312000	7008000	0	0	0	0	0	0	0	0	11499	20332	0	67477	3729903	304725	3009917	4217654	0	0	0	0	473732	59024	368792	555181	0	0	0	0	49.44	7.96	29.40	58.63	298246	44989	213622	364187	0	0	0	0	41.79	5.93	40.00	61.46	19835995	4187577	14751678	31457851	0	0	0	0	0	0	0	0	0	0	0	0	0	13522000	295317	13056000	14088000	3144598	403360	2580498	3854083	3144598	403359	2580498	3854083	0	0	0	0	11181	255	10764	11701
	10	414777916	395352030	9368529	380829479	410584365	50.22	0.33	50.00	50.89	9896742	0	0	0	0	0	0	0	11079776	277291	10479948	11410326	749176	152852	520800	1095864	0	0	0	0	0	0	0	0	0	0	0	0	6606000	307369	6144000	7272000	0	0	0	0	0	0	0	0	623	1101	0	3124	3281843	268878	2870876	3726087	0	0	0	0	442133	78453	281389	553621	0	0	0	0	47.74	8.00	27.71	57.23	291349	59448	202517	426174	0	0	0	0	43.33	11.06	40.00	80.00	19425886	7370051	11255565	41773544	0	0	0	0	0	0	0	0	0	0	0	0	0	13450000	272844	12984000	13848000	3561533	356941	3041913	4196210	3561533	356941	3041913	4196211	0	0	0	0	11111	256	10590	11558
	11	390978066	374261243	17798704	335366825	403408087	49.98	0.07	49.73	50.00	9710814	0	0	0	0	0	0	0	10626315	353383	10061479	11393985	749184	152861	520790	1095864	0	0	0	0	0	0	0	0	0	0	0	0	6691897	236988	6312000	7224000	0	0	0	0	0	0	0	0	0	0	0	0	2800897	353106	2088205	3275892	0	0	0	0	384337	62888	258710	497231	0	0	0	0	46.53	8.06	26.30	56.15	291349	59447	202518	426174	0	0	0	0	43.33	11.06	40.00	80.00	16716823	5308952	10348410	32240583	0	0	0	0	0	0	0	0	0	0	0	0	0	13518000	217798	13104000	13800000	4025206	363301	3610238	4993035	4025206	363301	3610238	4993036	0	0	0	0	11012	480	10075	11928
	12	376403772	360795086	18031171	321276547	388342561	50.00	0	50.00	50.00	9602341	0	0	0	0	0	0	0	10347087	350840	9724416	10997932	749188	152869	520716	1095864	0	0	0	0	0	0	0	0	0	0	0	0	6760000	181019	6408000	7008000	0	0	0	0	0	0	0	0	0	0	0	0	2483902	411074	1536731	3055623	0	0	0	0	353997	66694	239087	445689	0	0	0	0	45.85	7.96	25.71	54.89	291349	59447	202521	426174	0	0	0	0	43.33	11.06	40.00	80.00	15608686	6289134	9563499	34771243	0	0	0	0	0	0	0	0	0	0	0	0	0	13578000	407897	12936000	14232000	4334098	593156	3666749	5711269	4334098	593156	3666748	5711269	0	0	0	0	10952	622	9142	11713
	13	375730039	360037770	20420304	302275608	383350676	50.00	0	50.00	50.00	9451293	0	0	0	0	0	0	0	10299592	347070	9434427	10797964	766602	144701	545616	1095778	0	0	0	0	0	0	0	0	0	0	0	0	6578000	245430	6144000	6936000	0	0	0	0	0	0	0	0	0	0	0	0	2596155	411805	1425512	3060409	0	0	0	0	358834	47448	284948	407956	0	0	0	0	45.21	8.08	24.80	53.99	295755	55997	210312	423142	0	0	0	0	43.33	11.06	40.00	80.00	15692269	5282917	11397930	32133476	0	0	0	0	0	0	0	0	0	0	0	0	0	13282000	342853	12360000	13776000	4107845	356840	3540159	5006488	4107845	356840	3540160	5006487	0	0	0	0	10603	691	8743	11304
	14	352215222	333928495	21799672	283193816	366967965	49.84	0.40	48.57	50.00	9085863	0	0	0	0	0	0	0	9917637	336969	9174134	10395284	871114	124597	656376	1094856	0	0	0	0	0	0	0	0	0	0	0	0	6511181	176691	6216000	6859086	0	0	0	0	0	0	0	0	0	0	0	0	2120743	514730	862516	2739062	0	0	0	0	414598	59701	312418	510837	0	0	0	0	44.33	8.20	23.41	52.60	322188	46081	242790	404936	0	0	0	0	43.33	11.06	40.00	80.00	18286727	7120899	12496708	40866966	0	0	0	0	0	0	0	0	0	0	0	0	0	13262000	136279	12984000	13488000	4630076	403973	3904641	5454398	4630076	403973	3904641	5454398	0	0	0	0	9933	875	7982	11100
	15	329281171	313665716	20237526	277827707	356076343	49.67	0.67	47.68	50.00	8908400	0	0	0	0	0	0	0	9480028	396279	8810725	10172950	871108	124590	656449	1094856	0	0	0	0	0	0	0	0	0	0	0	0	6595399	314659	5928000	7149062	0	0	0	0	0	0	0	0	0	0	0	0	1656535	440000	767468	2316727	0	0	0	0	356986	48738	290008	451059	0	0	0	0	43.68	8.34	22.22	51.04	322188	46081	242792	404936	0	0	0	0	43.33	11.06	40.00	80.00	15615455	5302544	11600329	32063909	0	0	0	0	0	0	0	0	0	0	0	0	0	13274000	437571	12624000	13848000	5022066	374946	4412189	5830981	5022066	374946	4412189	5830980	0	0	0	0	9135	735	7904	10627
	16	309764172	296168051	16350925	270375052	327569566	49.18	0.83	47.59	50.00	8665566	0	0	0	0	0	0	0	9073481	371790	8434215	9723913	871094	124586	656460	1094838	0	0	0	0	0	0	0	0	0	0	0	0	6553268	260336	6140314	7052270	0	0	0	0	0	0	0	0	0	0	0	0	1336073	391283	836362	2216991	0	0	0	0	313045	67276	211534	422585	0	0	0	0	43.56	8.36	21.72	50.30	322188	46081	242791	404936	0	0	0	0	43.33	11.06	40.00	80.00	13596121	4553266	8461371	25783524	0	0	0	0	0	0	0	0	0	0	0	0	0	13300000	342345	12576000	13848000	5410659	501525	4167009	5959368	5410659	501525	4167009	5959367	0	0	0	0	8594	638	7707	9925
	17	303812101	290816956	18560032	242959703	316977422	48.78	1.45	45.09	50.00	8659276	0	0	0	0	0	0	0	8975712	351053	8135313	9579071	871089	124583	656460	1094772	0	0	0	0	0	0	0	0	0	0	0	0	6627529	201576	6336000	6975155	0	0	0	0	0	0	0	0	0	0	0	0	1177069	431865	268511	1803548	0	0	0	0	300025	57321	191320	403191	0	0	0	0	43.76	8.35	22.10	50.09	322189	46081	242792	404939	0	0	0	0	43.33	11.06	40.00	80.00	12995145	3998365	7652790	23859418	0	0	0	0	0	0	0	0	0	0	0	0	0	13370000	322955	12768000	13968000	5565402	583587	4652452	6685370	5565402	583587	4652452	6685371	0	0	0	0	8399	581	7105	9574
	18	284555460	272078306	15823901	251028224	308381880	47.75	1.40	45.71	50.00	8336644	0	0	0	0	0	0	0	8597794	234734	8352532	9158108	924448	150029	561204	1098110	0	0	0	0	0	0	0	0	0	0	0	0	6502185	247194	6081588	6876855	0	0	0	0	0	0	0	0	0	0	0	0	890036	432824	291466	1749238	0	0	0	0	281124	79807	132256	372992	0	0	0	0	44.33	8.57	22.49	51.17	405454	66305	244684	483230	0	0	0	0	43.33	11.06	40.00	80.00	12477154	5968175	5290242	29572627	0	0	0	0	0	0	0	0	0	0	0	0	0	13294000	368364	12720000	13800000	5901778	466451	5306762	6748360	5901778	466451	5306762	6748360	0	0	0	0	7836	403	7283	8646
	19	204318792	196416261	114823064	0	311270417	34.93	20.20	0	48.75	6125604	0	0	0	0	0	0	0	8362161	288548	7922902	8848806	936737	158139	545328	1132404	0	0	0	0	0	0	0	0	0	0	0	0	4831550	2794986	0	6881822	0	0	0	0	0	0	0	0	0	0	0	0	546240	484436	0	1773785	0	0	0	0	197563	128542	0	365578	0	0	0	0	35.42	21.10	0	52.94	309783	191544	0	508760	0	0	0	0	30.00	17.32	0	40.00	7902532	5141662	0	14623131	0	0	0	0	0	0	0	0	0	0	0	0	0	13182000	494008	12528000	14280000	4412210	2578229	0	6752119	4412210	2578229	0	6752120	0	0	0	0	5672	3307	0	8825
	20	256010220	246373630	19085468	217066590	282861870	44.17	2.80	36.16	47.23	7956408	0	0	0	0	0	0	0	8006148	350469	7350035	8597435	933344	159265	545328	1132404	0	0	0	0	0	0	0	0	0	0	0	0	6410160	195847	6016071	6672454	0	0	0	0	0	0	0	0	0	0	0	0	440361	269366	11555	986520	0	0	0	0	222283	67763	105949	360264	0	0	0	0	47.16	8.79	24.29	55.10	419331	71555	245000	508761	0	0	0	0	43.33	11.06	40.00	80.00	9636590	3678863	4237979	17886457	0	0	0	0	0	0	0	0	0	0	0	0	0	13472000	460017	12480000	14016000	6621479	530142	5781026	7699050	6621479	530142	5781026	7699049	0	0	0	0	7238	421	6533	8131
	21	250253196	240996219	21624441	215009787	296050470	42.35	4.27	35.45	48.39	7858409	0	0	0	0	0	0	0	7874301	381627	7370263	8638607	933363	159274	545328	1132404	0	0	0	0	0	0	0	0	0	0	0	0	6367250	201267	5954877	6730019	0	0	0	0	0	0	0	0	0	0	0	0	362850	353926	1630	1209996	0	0	0	0	210839	61440	79355	301278	0	0	0	0	49.31	8.69	26.98	57.98	419331	71556	245000	508763	0	0	0	0	43.33	11.06	40.00	80.00	9256977	3985261	3174204	19762317	0	0	0	0	0	0	0	0	0	0	0	0	0	13556000	371785	12864000	14112000	6825901	575008	5928292	7801349	6825901	575008	5928292	7801349	0	0	0	0	7246	485	6595	8619
	22	247490131	237620477	20146138	195469520	265334506	43.40	3.03	35.00	47.77	7782143	0	0	0	0	0	0	0	7805016	476918	6842086	8493692	930580	178199	594768	1251963	0	0	0	0	0	0	0	0	0	0	0	0	6321406	308901	5584843	6730346	0	0	0	0	0	0	0	0	0	0	0	0	327425	213464	0	749260	0	0	0	0	225604	80249	115990	417002	0	0	0	0	51.38	8.92	29.14	61.39	463056	90991	299288	635303	0	0	0	0	42.44	8.10	40.00	69.30	9869654	4544395	4639596	20639140	0	0	0	0	0	0	0	0	0	0	0	0	0	13432000	371074	12648000	13872000	6783169	684069	5388126	8071157	6783169	684068	5388126	8071156	0	0	0	0	7116	392	6428	7793
	23	230743554	221817955	15224585	203655448	251367028	38.86	3.76	35.00	45.98	7461921	0	0	0	0	0	0	0	7432543	317767	6976076	7896348	926850	240406	660744	1501164	0	0	0	0	0	0	0	0	0	0	0	0	6153982	226278	5782952	6528900	0	0	0	0	0	0	0	0	0	0	0	0	128572	160847	0	457111	0	0	0	0	223140	68261	76629	335909	0	0	0	0	54.17	8.27	34.89	64.38	521353	135232	371669	844407	0	0	0	0	40.00	0	40.00	40.00	8925600	2730450	3065163	13436349	0	0	0	0	0	0	0	0	0	0	0	0	0	13512000	311692	12816000	13968000	7229446	473977	6429989	8010509	7229446	473977	6429990	8010509	0	0	0	0	6897	276	6377	7256
	24	221558399	213140958	11232871	195337398	235277506	38.13	2.78	35.00	43.39	7237848	0	0	0	0	0	0	0	7200160	418410	6538471	8033889	926845	240412	660744	1501164	0	0	0	0	0	0	0	0	0	0	0	0	6000200	255318	5581069	6383173	0	0	0	0	0	0	0	0	0	0	0	0	62679	80916	0	282531	0	0	0	0	210436	80265	79265	333140	0	0	0	0	57.23	7.70	40.30	67.43	521352	135232	371668	844406	0	0	0	0	40.00	0	40.00	40.00	8417442	3210605	3170616	13325615	0	0	0	0	0	0	0	0	0	0	0	0	0	13528000	457296	12672000	14304000	7465121	509165	6670870	8599945	7465121	509165	6670870	8599944	0	0	0	0	6785	184	6419	6988
