0.993	1.018	0.968	0.957	0.877	0.873	0.86	0.915	0.935	0.961	0.967	1.021
0.987	1.012	0.935	0.917	0.86	0.859	0.843	0.888	0.897	0.945	0.949	1.02
0.974	0.993	0.881	0.882	0.86	0.842	0.825	0.87	0.86	0.957	0.956	1.031
0.965	0.975	0.902	0.844	0.857	0.831	0.815	0.865	0.832	0.938	0.946	1.03
0.948	0.961	0.888	0.83	0.856	0.827	0.806	0.858	0.841	0.935	0.94	1.028
0.945	0.957	0.886	0.823	0.832	0.808	0.805	0.845	0.842	0.933	0.934	1.017
0.957	0.964	0.899	0.818	0.831	0.809	0.794	0.839	0.841	0.945	0.952	1.023
0.976	0.967	0.911	0.83	0.896	0.864	0.835	0.852	0.87	0.964	0.967	1.038
0.989	0.964	0.936	0.857	0.96	0.924	0.916	0.893	0.903	0.965	0.979	1.025
1.005	0.978	0.983	0.919	0.986	0.973	0.991	0.96	0.978	0.975	0.992	1.016
1.021	0.99	1.026	0.964	1.038	1.038	1.06	1.015	1.047	1.012	1.026	1.024
1.032	1.001	1.058	1.024	1.08	1.091	1.144	1.065	1.116	1.043	1.047	1.025
1.038	1.007	1.095	1.095	1.14	1.157	1.222	1.131	1.182	1.053	1.056	0.998
1.023	1.008	1.123	1.15	1.199	1.201	1.286	1.184	1.212	1.058	1.05	0.968
1.002	1.003	1.142	1.191	1.229	1.227	1.311	1.227	1.236	1.065	1.03	0.946
0.985	1.004	1.128	1.213	1.24	1.234	1.315	1.244	1.211	1.061	1.009	0.932
0.981	0.993	1.1	1.215	1.242	1.232	1.28	1.223	1.174	1.041	1.002	0.937
0.997	0.998	1.057	1.206	1.213	1.214	1.21	1.191	1.115	1.017	1.027	0.969
1.018	1.026	1.021	1.165	1.156	1.177	1.128	1.127	1.037	1.005	1.045	0.986
1.033	1.054	1.004	1.079	1.057	1.103	1.039	1.025	0.982	1.033	1.063	0.99
1.033	1.046	1.018	1.013	0.935	0.988	0.909	0.965	0.977	1.054	1.047	0.993
1.036	1.03	1.017	0.996	0.886	0.929	0.851	0.945	0.98	1.039	1.025	0.991
1.029	1.024	1.017	1.007	0.88	0.912	0.865	0.941	0.976	1.011	1.005	0.992
1.032	1.027	1.004	1.007	0.889	0.889	0.888	0.932	0.955	0.991	0.988	0.999
