0.31	0.48	0.65
0.312	0.482	0.6509999999999999
0.315	0.485	0.6509999999999999
0.317	0.487	0.652
0.319	0.489	0.653
0.321	0.491	0.653
0.324	0.494	0.654
0.326	0.496	0.655
0.328	0.498	0.655
0.33	0.5	0.6559999999999999
0.333	0.503	0.6559999999999999
0.335	0.505	0.657
0.337	0.507	0.6579999999999999
0.339	0.509	0.6579999999999999
0.342	0.512	0.659
0.344	0.514	0.66
0.34600000000000003	0.516	0.66
0.348	0.518	0.6609999999999999
0.35100000000000003	0.521	0.662
0.353	0.523	0.662
0.355	0.525	0.6629999999999999
0.35700000000000004	0.527	0.664
0.36	0.53	0.664
0.362	0.532	0.665
0.364	0.534	0.665
0.366	0.536	0.6659999999999999
0.369	0.539	0.667
0.371	0.541	0.667
0.373	0.5429999999999999	0.6679999999999999
0.375	0.545	0.669
0.378	0.5479999999999999	0.669
0.38	0.55	0.67
0.383	0.551	0.6709999999999999
0.385	0.551	0.6709999999999999
0.388	0.552	0.672
0.39	0.5529999999999999	0.6729999999999999
0.393	0.5539999999999999	0.674
0.395	0.5539999999999999	0.674
0.398	0.555	0.675
0.4	0.556	0.6759999999999999
0.403	0.556	0.6759999999999999
0.405	0.557	0.677
0.408	0.5579999999999999	0.6779999999999999
0.41	0.5589999999999999	0.679
0.413	0.5589999999999999	0.679
0.415	0.56	0.68
0.418	0.561	0.6809999999999999
0.42	0.561	0.6809999999999999
0.423	0.562	0.682
0.425	0.563	0.6829999999999999
0.428	0.564	0.684
0.43	0.564	0.684
0.433	0.565	0.685
0.435	0.5660000000000001	0.6859999999999999
0.438	0.5660000000000001	0.6859999999999999
0.44	0.5670000000000001	0.687
0.443	0.568	0.688
0.445	0.569	0.6890000000000001
0.448	0.569	0.6890000000000001
0.45	0.57	0.69
0.451	0.573	0.6940000000000001
0.453	0.575	0.698
0.454	0.578	0.7020000000000001
0.455	0.58	0.705
0.456	0.583	0.7090000000000001
0.458	0.585	0.713
0.459	0.588	0.7170000000000001
0.46	0.591	0.721
0.462	0.593	0.725
0.463	0.596	0.7290000000000001
0.464	0.598	0.733
0.465	0.601	0.736
0.467	0.604	0.74
0.468	0.606	0.7440000000000001
0.469	0.609	0.748
0.471	0.611	0.752
0.472	0.614	0.7559999999999999
0.473	0.616	0.76
0.475	0.619	0.764
0.476	0.622	0.767
0.477	0.624	0.7709999999999999
0.478	0.627	0.775
0.48	0.629	0.779
0.481	0.632	0.7829999999999999
0.482	0.635	0.787
0.484	0.637	0.7909999999999999
0.485	0.64	0.795
0.486	0.642	0.7979999999999999
0.487	0.645	0.802
0.489	0.647	0.8059999999999999
0.49	0.65	0.81
0.494	0.653	0.813
0.498	0.657	0.815
0.502	0.66	0.818
0.506	0.6629999999999999	0.821
0.51	0.667	0.823
0.514	0.67	0.826
0.518	0.6729999999999999	0.8290000000000001
0.522	0.677	0.831
0.526	0.68	0.8340000000000001
0.53	0.6829999999999999	0.8370000000000001
0.534	0.687	0.8390000000000001
0.5379999999999999	0.69	0.8420000000000001
0.542	0.693	0.845
0.546	0.6970000000000001	0.847
